_NAME_	Factor1	Factor2	Factor3	load	secondary
v000001	-0.231868304	0.0786952124	0.1306100894		
v000002	0.1405107733	0.1474262365	0.0687558248		
v000003	0.2822398223	-0.031658014	-0.258771742		
v000004	0.284821998	0.2782526293	0.0336851968		
v000005	0.672932515	-0.047468282	-0.124848679		
v000006	-0.024414953	0.2787513506	0.0068043628		
v000007	0.0459090216	0.2174758685	0.0380224401		
v000008	0.025394031	0.2376982467	-0.209704216		
v000009	-0.031701477	0.2297048886	0.182867798		
v000010	0.0503386951	0.3821944134	-0.468471518	fac2	1
v000011	0.4611514475	0.171566626	0.052874085		
v000012	0.1985107424	0.2156987543	-0.208986938		
v000013	0.5578363985	0.0088775357	-0.061220528		
v000014	0.2908811898	0.1465204409	0.0176234918		
v000015	0.0821409313	0.6723634538	0.2027047371		
v000016	0.2739648795	0.4030686488	-0.235594884		
v000017	0.0499516195	0.6670625806	-0.119284249		
v000018	0.1916631487	0.451754699	0.150446459		
v000019	0.5209242897	0.4104899075	0.1153590042	fac2	1
v000020	0.4801488843	0.4474464753	0.4939527912	fac1	1
v000021	-0.131079955	0.6477639088	-0.004400058		
v000022	0.1354697669	0.6177902161	-0.324872086	fac3	1
v000023	0.611608914	0.4640324945	0.2938336385	fac2	1
v000024	0.1432533086	0.6148031643	-0.542152799	fac3	1
v000025	0.4849137662	0.4874034657	0.4319353398	fac1	1
v000026	-0.227426896	0.3061096053	-0.871112063	fac2	1
v000027	0.2687928754	0.3097359619	-0.434259723	fac2	1
v000028	0.2897908136	0.465098309	-0.404509138	fac3	1
v000029	0.6688793113	-0.033179405	-0.277393516		
v000030	-0.072970015	0.5892813645	-0.062427192		
v000033	0.3346316145	0.3008043761	0.0527257289	fac2	1
v000034	0.1709375743	0.5903901354	-0.066585624		
v000035	0.3430769438	0.4385469505	0.177190706	fac1	1
v000037	0.4477078405	0.3647692504	0.4475115903	fac3	1
v000038	-0.007690982	0.3313905933	-0.747739511	fac2	1
v000039	0.8095315733	0.0916133134	-0.366656978	fac3	1
v000040	-0.026458194	0.4967037972	0.0970820919		
v000042	-0.005138106	0.4248861183	0.1256953211		
v000043	-0.232509228	0.6962674741	0.0368103188		
v000046	0.3229264049	0.4732919601	-0.037726271	fac1	1
v000047	0.1334663032	0.4331722696	0.0483335815		
v000048	-0.219073851	0.3801277069	-0.229884708		
v000049	-0.286332316	0.5236842385	0.0349560109		
v000050	0.147840574	0.4580753929	-0.124663924		
v000051	0.1594402302	0.1444725476	-0.348626998		
v000052	0.7314410325	0.2466026404	0.5357688506	fac3	1
v000054	0.6117427381	-0.087358125	0.1070316769		
v000055	0.2501455036	0.2917305596	-0.319909606		
v000056	0.0699356603	0.3123031122	0.0658991077		
v000059	0.456980441	0.3254987967	0.2239278754	fac2	1
v000060	0.5222294911	0.3031954886	0.6155599999	fac1	1
v000062	0.096672754	0.388040549	-0.443109456	fac2	1
v000063	0.3290990322	0.0529510366	-0.049467148		
v000064	0.3932769099	0.144769625	0.2780061973		
v000065	0.3308350312	0.2928304532	0.4131801066	fac1	1
v000066	0.1288773028	0.2748268928	0.1011097515		
v000067	0.2548659784	0.3576190512	-0.286761311		
v000068	-0.071224159	0.7317571998	0.3676598113	fac3	1
v000070	-0.185746653	0.3092231788	-0.014376134		
v000071	-0.080110822	0.5311228514	-0.235255831		
v000072	-0.102617872	0.4548458838	-0.755514205	fac2	1
v000073	0.0932644289	0.4359394922	-0.216868813		
v000075	0.0123688058	0.5440843631	-0.180554849		
v000077	0.2757910908	0.1277033151	-0.188597649		
v000079	-0.061513639	0.6721670659	-0.375793234	fac3	1
v000081	0.4287685553	0.1397344497	0.3900533198	fac3	1
v000083	0.8919817464	-0.174276418	0.0546894349		
v000085	0.0154287151	0.2735454107	-0.756466981		
