Lidiane lidiane
Brugnari brugnari
era ser
professora professora
em em
Jacarezinho jacarezinho
/ /
PR pr
. .
Tomou tomar
a o
2a 2a
. .
Dose dose
em em
agosto agosto
/ /
21 21
e e
o o
reforço reforço
há haver
pouco pouco
mais mais
de de
3 3
meses mês
. .
Faleceu falecer
dia dia
26 26
/ /
07 @card@
/ /
22 22
em em
virtude virtude
de de
um um
AVC avc
. .
A o
OMS oms
ja ja
alertou alertar
sobre sobre
AVC avc
pós-experimento pós-experimento
. .
pesquisa pesquisa
. .
bvsalud bvsalud
. .
org org
/ /
global-literat global-literat
… …
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
m m
. .
facebook facebook
. .
com com
/ /
groups groups
/ /
9297702 @card@
… …
https://t.co/Wo9Bx4fHKB https://t.co/wo9bx4fhkb
