@SigaGazetaBR twitterhandle
A o
guerra guerra
de de
informação informação
deixou deixar
tudo tudo
muito muito
turvo turvo
, ,
mas mas
já já
há haver
estudos estudo
suficientes suficiente
para para
afirmar afirmar
que que
o o
vírus vírus
veio vir
de de
laboratório laboratório
, ,
que que
o o
tratamento tratamento
precoce precoce
salva salvar
vidas vida
, ,
que que
as o
vacinas vacina
têm ter
riscos risco
de de
efeitos efeito
colaterais colateral
severos severo
, ,
que que
lockdown lockdown
e e
máscara máscara
são ser
ineficazes ineficaz
, ,
e e
por por
aí aí
vai ir
. .
. .
. .
