@revistaoeste twitterhandle
As o
estatísticas estatística
asseguram assegurar
que que
o o
risco risco
de de
morte morte
entre entre
jovens jovem
saudáveis saudável
é ser
ínfimo ínfimo
, ,
menor pequeno
que que
0 0
, ,
05 @card@
% %
. .
Submetê submetê
-las elas
a a
um um
risco risco
desconhecido desconhecer
com com
vacinas vacina
que que
não não
possuem possuir
estudos estudo
de de
longo longo
prazo prazo
quanto quanto
a o
segurança segurança
, ,
ultrapassa ultrapassar
qualquer qualquer
limite limite
ético ético
. .
