Se se
as o
estatísticas estatística
asseguram assegurar
que que
o o
vírus vírus
não não
representa representar
relevante relevante
risco risco
de de
morte morte
aos a_o
jovens jovem
saudáveis saudável
, ,
e e
as o
vacinas vacina
não não
impedem impedir
a o
infecção infecção
e e
tampouco tampouco
a o
transmissão transmissão
do de_o
vírus vírus
, ,
vaciná vacinar
-los eles
não não
faz fazer
sentido sentido
. .
Tem ter
algo algo
muito muito
estranho estranho
acontecendo acontecer
no em_o
mundo mundo
e e
o o
povo povo
está estar
em em
transe transe
. .
. .
. .
