@JornalBSM twitterhandle
Quanto quanto
mais mais
a o
extrema extremo
imprensa imprensa
mente mentar
sobre sobre
a o
pandemia pandemia
, ,
negando negar
a o
eficácia eficácia
do de_o
tratamento tratamento
precoce precoce
e e
escondendo esconder
a o
falta falta
de de
estudos estudo
abrangentes abrangente
sobre sobre
as o
vacinas vacina
e e
seus seu
potenciais potencial
efeitos efeito
colaterais colateral
, ,
mais mais
eles eles
se se
aproximam aproximar
do de_o
que que
acusam acusar
o o
presidente presidente
de de
ser ser
: :
Genocidas genocida
! !
