Considerando considerar
que que
a o
vacina vacina
não não
está estar
prevenindo prevenir
a o
infecção infecção
e e
a o
transmissão transmissão
do de_o
vírus vírus
entre entre
adultos adulto
, ,
e e
o o
risco risco
de de
morte morte
entre entre
crianças criança
saudáveis saudável
é ser
desprezível desprezível
, ,
essa esse
determinação determinação
do de_o
STF stf
é ser
mais mais
do de_o
que que
absurda absurdo
, ,
é ser
criminosa criminoso
! !
Quem quem
vai ir
reestabelecer reestabelecer
a o
ordem ordem
nesse em_esse
país país
? ?
