Contra contra
o o
tratamento tratamento
precoce precoce
chegaram chegar
a a
forjar forjar
um um
estudo estudo
com com
superdosagem superdosagem
, ,
matando matar
pacientes paciente
, ,
para para
impedir impedir
o o
uso uso
de de
remédios remédio
, ,
mas mas
diante diante
dos de_o
inegáveis inegável
casos caso
de de
efeitos efeito
adversos adverso
relacionados relacionar
às a_o
vacinas vacina
, ,
silêncio silêncio
absoluto absoluto
! !
E e
tem ter
gente gente
acreditando acreditar
que que
é ser
mera mero
preocupação preocupação
com com
vidas vida
! !
