Ciência ciência
é ser
quando quando
há haver
centenas centena
de de
estudos estudo
publicados publicar
assegurando assegurar
a o
eficácia eficácia
e e
a o
segurança segurança
do de_o
tratamento tratamento
precoce precoce
; ;
Genocídio genocídio
é ser
quando quando
a o
imprensa imprensa
mente mentar
sobre sobre
isso isso
e e
induz induzir
as o
pessoas pessoa
a a
esperarem esperar
pelo por_o
agravamento agravamento
da de_o
doença doença
; ;
Interesse interesse
é ser
quando quando
alguém alguém
financia financiar
isso isso
para para
lucrar lucrar
com com
vacina vacina
! !
