Fonte fonte
: :
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
Cleydson cleydson
, ,
16 16
anos ano
de de
idade idade
, ,
sem sem
nenhum nenhum
antecedente antecedente
cardíaco cardíaco
, ,
sofreu sofrer
um um
infarto infarto
fulminante fulminante
enquanto enquanto
caminhava caminhar
no em_o
calçadão calçadão
de de
sua seu
cidade cidade
. .
Um um
colega colega
de de
Cleydson cleydson
confirmou confirmar
ao a_o
jornal jornal
das de_o
vítimas vítima
que que
ele ele
havia haver
se se
vacinado vacinar
há há
2 2
meses mês
. .
https://t.co/8i0BbIwjCH https://t.co/8i0bbiwjch
