@SF_Moro twitterhandle
Tô tô
aqui aqui
refletindo refletir
sobre sobre
a o
lei lei
ditatorial ditatorial
que que
o o
senhor senhor
assinou assinar
com com
o o
Mandeta mandeta
sobre sobre
vacinação vacinação
obrigatória obrigatório
onde onde
meus meu
direitos direito
de de
liberdade liberdade
foram ser
retirados retirar
. .
Tô tô
refletindo refletir
tbm tbm
sobre sobre
os o
trabalhadores trabalhador
que que
apanharam apanhar
do de_o
Estado estado
pq pq
queriam querer
trabalhar trabalhar
e e
o o
senhor senhor
não não
fez fazer
nada nada
. .
