#DavidLuiz #davidluiz
, ,
jogador jogador
do de_o
#Flamengo #flamengo
, ,
é ser
diagnosticado diagnosticar
com com
#Hepatite #hepatite
Viral viral
. .
Lembramos lembrar
que que
a o
CBF cbf
exige exigir
o o
#passaporte #passaporte
em em
dia dia
e e
os o
jogadores jogador
do de_o
Flamengo flamengo
tomaram tomar
a o
3a 3a
. .
Dose dose
em em
Março março
. .
A o
OMS oms
e e
cientistas cientista
já já
emitiram emitir
Alerta alerta
sobre sobre
o o
risco risco
de de
Hepatite hepatite
#pós_experimento #pós_experimento
. .
Segue seguir
fontes fonte
: :
https://t.co/0hlPmnhQDA https://t.co/0hlpmnhqda
