Coisas coisa
que que
não não
dá dar
mais mais
pra pra
esconder esconder
mas mas
a o
velha velho
imprensa imprensa
vendida vender
continua continuar
fingindo fingir
não não
saber saber
: :
- -
Tratamento tratamento
precoce precoce
salva salvar
vidas vida
; ;
- -
Vacina vacina
não não
garante garantir
imunização imunização
; ;
- -
Lockdown lockdown
não não
reduz reduzir
contágio contágio
e e
tampouco tampouco
mortes morte
; ;
- -
O o
establishment establishment
faz fazer
de de
tudo tudo
para para
derrubar derrubar
o o
atual atual
governo governo
; ;
