file	fac1	fac2	fac3
t000003	1	3	-1
t000004	1	0	-1
t000005	0	0	0
t000006	0	1	0
t000011	2	3	-1
t000015	2	3	0
t000018	0	0	0
t000027	-1	4	0
t000031	1	-1	0
t000037	0	2	0
t000050	0	3	-2
t000053	1	0	1
t000065	0	3	-1
t000067	-1	1	0
t000070	2	0	0
t000071	3	1	0
t000074	0	2	2
t000081	2	2	0
t000083	1	1	0
t000086	0	2	0
t000087	0	2	0
t000096	3	4	1
t000099	1	1	-1
t000103	0	0	-2
t000105	0	0	0
t000110	0	0	0
t000114	1	4	0
t000117	0	1	-2
t000118	0	2	-1
t000123	1	2	0
t000124	1	1	0
t000126	1	0	-1
t000139	0	1	-1
t000143	0	2	0
t000153	0	1	-1
t000156	1	3	0
t000157	2	2	0
t000160	2	2	0
t000178	0	3	-1
t000181	0	0	0
t000189	2	-1	0
t000192	2	1	-2
t000195	0	3	-3
t000216	1	1	-1
t000220	2	2	-1
t000224	0	2	0
t000226	0	2	0
t000242	1	2	-2
t000243	1	2	-1
t000244	1	1	-1
t000245	2	4	0
t000251	0	2	0
t000257	0	3	2
t000266	0	0	0
t000271	1	1	0
t000272	2	0	0
t000278	1	2	0
t000287	1	2	-2
t000288	2	1	-1
t000292	3	0	0
t000295	3	0	-1
t000296	0	0	-3
t000299	2	0	-3
t000303	2	0	-1
t000304	0	3	-2
t000308	1	2	0
t000320	1	0	0
t000322	2	-1	-2
t000325	1	0	-1
t000327	0	1	-2
t000329	0	0	0
t000330	1	0	-4
t000332	0	0	0
t000335	0	1	0
t000336	0	0	-1
t000337	0	0	-1
t000343	0	3	0
t000346	0	0	-1
t000347	0	0	-1
t000351	0	1	-1
t000353	0	0	0
t000355	0	1	0
t000358	0	0	0
t000365	0	0	-1
t000370	3	0	-1
t000375	0	2	-3
t000377	1	4	-2
t000379	0	1	-1
t000383	0	2	-2
t000386	0	3	-1
t000387	0	0	-3
t000388	0	0	-1
t000389	0	0	0
t000394	0	1	-1
t000396	0	0	-1
t000397	0	0	0
t000398	0	0	-1
t000401	1	0	-1
t000402	0	0	-1
t000412	-1	0	0
t000413	1	2	-1
t000419	0	1	0
t000420	0	-1	0
t000422	1	0	0
t000424	1	0	0
t000426	1	1	-1
t000427	0	0	0
t000429	0	0	0
t000432	0	1	0
t000433	0	1	-1
t000434	2	1	-1
t000435	4	1	0
t000438	1	1	0
t000439	0	0	0
t000441	0	2	-1
t000445	1	1	-1
t000446	0	0	0
t000448	-1	1	-1
t000449	0	0	0
t000450	1	0	-1
t000452	0	2	-1
t000455	0	1	-1
t000457	1	3	0
t000462	0	1	-1
t000465	0	0	-1
t000469	0	1	0
t000470	0	5	-2
t000471	0	0	-2
t000473	0	0	0
t000475	2	4	-1
t000476	0	0	0
t000477	-1	0	-2
t000479	0	1	-1
t000480	0	1	0
t000481	0	0	-1
t000484	0	3	0
t000485	1	2	-1
t000486	2	1	0
t000487	1	6	0
t000489	0	1	0
t000490	1	1	0
t000491	1	1	0
t000492	2	3	-1
t000495	0	0	0
t000496	0	1	0
t000497	1	0	-1
t000498	1	0	-2
t000499	2	4	-1
t000500	0	0	-1
t000501	0	0	0
t000502	0	3	-1
t000503	0	1	-1
t000504	1	4	-1
t000505	0	0	0
t000506	0	2	-2
t000507	2	1	-3
t000508	0	3	-1
t000510	0	0	-1
t000511	0	1	-1
t000512	0	1	-1
t000513	0	0	0
t000516	0	0	-1
t000519	2	4	0
t000521	0	2	0
t000522	0	0	0
t000524	0	2	0
t000526	1	2	-2
t000529	0	0	-1
t000534	1	0	0
t000535	0	0	-1
t000536	0	0	0
t000537	0	0	0
t000538	0	1	0
t000539	1	1	-3
t000540	1	3	0
t000541	-1	1	-1
t000542	0	2	-1
t000544	2	1	2
t000550	0	0	-3
t000553	0	0	-2
t000555	0	2	2
t000556	0	2	-1
t000557	0	2	-1
t000559	0	4	0
t000561	0	3	0
t000562	-1	0	-1
t000564	0	0	0
t000565	1	2	-1
t000567	-1	0	-1
t000568	1	1	-4
t000569	1	0	-1
t000570	2	2	-1
t000571	0	1	0
t000572	0	0	0
t000574	0	0	0
t000575	0	1	0
t000577	0	0	0
t000578	0	0	0
t000582	0	1	1
t000584	1	0	-1
t000585	2	0	-1
t000588	0	0	0
t000590	0	1	-1
t000591	0	2	0
t000592	0	2	-1
t000595	0	0	0
t000596	0	2	-1
t000598	0	2	-1
t000600	-1	0	-1
t000603	1	0	0
t000604	0	0	0
t000605	0	0	-1
t000606	0	0	-1
t000607	-1	-1	0
t000608	0	1	-3
t000611	0	0	0
t000612	-1	1	0
t000614	0	0	0
t000615	0	1	0
t000616	0	2	-2
t000617	0	0	-1
t000618	0	2	0
t000619	0	2	0
t000620	0	2	0
t000621	0	0	0
t000622	0	0	0
t000623	0	0	-1
t000624	1	0	-1
t000625	0	0	0
t000626	0	0	0
t000628	0	0	0
t000629	0	0	1
t000631	0	0	0
t000632	0	0	0
t000633	1	0	0
t000637	2	0	-3
t000638	1	2	-1
t000639	1	0	0
t000640	0	3	0
t000642	0	0	-1
t000643	0	0	0
t000644	0	0	0
t000647	0	0	0
t000649	0	1	-1
t000650	0	0	-1
t000651	0	0	0
t000652	0	0	0
t000653	0	2	-1
t000654	0	0	0
t000656	1	0	-2
t000658	0	2	0
t000659	0	2	-1
t000660	0	0	-1
t000666	0	0	-1
t000667	0	0	0
t000668	1	3	0
t000669	0	0	-4
t000676	2	0	-3
t000679	0	0	0
t000680	0	2	-2
t000681	-1	0	-1
t000682	-1	2	0
t000683	1	1	0
t000689	0	2	0
t000690	0	0	0
t000692	0	0	0
t000694	0	1	0
t000695	-5	1	-1
t000696	0	3	-1
t000698	0	1	-2
t000701	1	1	-1
t000702	1	4	0
t000703	0	0	0
t000708	0	0	0
t000710	1	3	-1
t000711	0	2	0
t000712	1	1	0
t000718	0	0	0
t000721	0	0	0
t000723	0	3	-1
t000724	0	0	0
t000725	0	0	0
t000726	0	2	-2
t000727	0	5	0
t000728	-3	1	-1
t000729	-5	1	-1
t000731	0	0	-2
t000733	0	1	0
t000737	-3	1	-1
t000738	-5	1	-1
t000739	0	2	0
t000740	0	2	0
t000741	0	0	0
t000742	-3	1	-1
t000743	-5	1	-1
t000745	-3	1	-1
t000747	0	3	1
t000751	0	1	-1
t000752	0	2	0
t000755	0	0	-1
t000756	0	0	-2
t000757	0	0	-1
t000762	-3	1	-1
t000763	-5	1	-1
t000764	-3	1	-1
t000765	-5	1	-1
t000766	1	0	0
t000767	0	3	-1
t000768	0	0	0
t000769	1	-1	0
t000770	1	4	-1
t000771	0	0	2
t000772	1	2	0
t000773	0	0	0
t000774	0	0	0
t000776	0	0	-2
t000779	0	2	-1
t000780	0	2	-2
t000781	0	1	1
t000782	1	4	1
t000784	0	1	-1
t000785	0	6	-1
t000790	0	2	-1
t000791	0	4	0
t000792	0	2	0
t000794	1	1	-2
t000797	0	1	-2
t000798	0	5	-1
t000799	0	3	-1
t000801	0	0	0
t000802	1	-1	0
t000803	0	1	-1
t000804	0	4	-2
t000805	0	0	-2
t000806	0	0	0
t000808	0	1	0
t000810	1	0	0
t000812	0	1	-2
t000813	0	0	-1
t000814	1	4	-1
t000817	0	0	-1
t000820	0	2	-1
t000821	4	3	2
t000823	1	4	-1
t000825	1	-1	0
t000826	0	0	0
t000829	0	1	-1
t000830	0	3	-2
t000836	0	3	-1
t000837	0	2	1
t000839	1	0	0
t000841	1	4	1
t000844	0	1	-1
t000848	0	0	0
t000849	1	-1	0
t000853	2	1	-2
t000855	0	3	-4
t000861	2	3	-1
t000862	0	0	0
t000865	0	3	0
t000866	0	1	-2
t000867	0	0	0
t000868	1	-1	0
t000869	1	4	1
t000870	0	1	1
t000871	1	4	1
t000872	1	4	1
t000873	1	4	1
t000874	1	4	1
t000875	1	-1	0
t000876	1	4	1
t000877	1	-1	0
t000878	1	4	1
t000879	0	5	0
t000881	1	-1	0
t000882	0	0	-1
t000883	1	4	1
