_NAME_	COMMUNAL
v000001	1.0296290194
v000006	1.7465847217
v000003	1.7720538726
v000008	1.8825390481
v000004	1.8891390918
v000002	1.9829379823
v000012	2.2973163826
v000005	2.3275260384
v000011	2.3559838061
v000018	2.3965726315
v000009	2.4223398881
v000016	2.435215946
v000007	2.4861013656
v000968	2.4986139454
v000010	2.5005409412
v000805	2.5764475161
v000893	2.658804939
v000861	2.6960152019
v000014	2.7145272273
v000534	2.7626063154
v000916	2.7645719923
v000028	2.7715892116
v000989	2.7956349084
v000818	2.8097776859
v000015	2.8423116866
v000389	2.8546910295
v000474	2.8591641276
v000561	2.8679341872
v000673	2.8778672835
v000873	2.8793640797
v000020	2.8953860709
v000441	2.9041329114
v000982	2.9046557855
v000902	2.9218915877
v000021	2.9253055865
v000037	2.9423588851
v000025	2.9466346943
v000035	2.9530358525
v000024	2.9596222383
v000990	2.9609912254
v000013	2.9630653934
v000875	2.9650779257
v000883	2.967011428
v000743	2.9673306127
v000788	2.9706525148
v000813	2.9757325111
v000690	2.9906536055
v000029	2.9959164167
v000838	3.0163650415
v000257	3.0189749596
v000999	3.0294815413
v000764	3.0302268238
v000659	3.0315835613
v000022	3.0376175349
v000911	3.0536484832
v000152	3.0595503805
v000017	3.0632176531
v000985	3.0649355802
v000027	3.0740121722
v000951	3.0786482646
v000072	3.080912511
v000047	3.0851760985
v000411	3.0856966317
v000633	3.0912085462
v000884	3.0912186176
v000584	3.0946443343
v000637	3.0966531286
v000046	3.0981329065
v000043	3.0998582866
v000752	3.1038281552
v000038	3.1046488881
v000787	3.1207903705
v000131	3.1218508331
v000186	3.122355112
v000109	3.1237082996
v000599	3.126402619
v000175	3.1273121026
v000023	3.1290989327
v000040	3.1362921846
v000052	3.1370782929
v000141	3.1494224853
v000702	3.1528151938
v000918	3.1605744731
v000974	3.1716876211
v000221	3.1739140338
v000033	3.1858448872
v000019	3.1882582966
v000852	3.200794067
v000891	3.2012400369
v000208	3.2045441802
v000030	3.2129911813
v000034	3.2131757328
v000244	3.2137200222
v000361	3.2175504529
v000881	3.2210042402
v000615	3.2210986374
v000068	3.2221270494
v000749	3.2234534248
v000831	3.2294748878
v000062	3.2304874036
v000542	3.2314782582
v000848	3.2321419528
v000039	3.2341845265
v000367	3.234267812
v000127	3.2355434721
v000290	3.2364170918
v000887	3.2406541001
v000483	3.2407647553
v000468	3.2407758215
v000085	3.248893411
v000825	3.2498928164
v000142	3.2535970281
v000354	3.2549801842
v000532	3.2611273002
v000424	3.2657067757
v000425	3.2739292805
v000997	3.275774509
v000209	3.283257766
v000220	3.2837654017
v000065	3.2910941902
v000306	3.2983527019
v000993	3.3026346414
v000822	3.3028394994
v000166	3.3046860208
v000253	3.307437883
v000472	3.3082211231
v000374	3.3108437219
v000042	3.3136345207
v000049	3.3149179114
v000408	3.3221986914
v000793	3.3237320823
v000271	3.3271420811
v000650	3.3280940233
v000567	3.3285826531
v000531	3.3342637712
v000758	3.3397592525
v000118	3.3488524429
v000060	3.3489503758
v000708	3.350573447
v000193	3.3661250302
v000341	3.3678451146
v000904	3.3698027967
v000050	3.3760943184
v000124	3.376475208
v000710	3.3780970144
v000098	3.3793174851
v000328	3.3794364062
v000393	3.385361642
v000236	3.3889008876
v000282	3.3890541218
v000397	3.3905331139
v000714	3.3928058617
v000073	3.3953525767
v000536	3.4002364597
v000075	3.4010688244
v000438	3.4029846652
v000956	3.4046971556
v000067	3.4058019017
v000079	3.4098560043
v000684	3.4109077035
v000896	3.4122137945
v000112	3.4149840884
v000321	3.4159643102
v000088	3.4172066255
v000854	3.4192867686
v000051	3.4211570248
v000514	3.4223599509
v000071	3.4237857637
v000526	3.42637398
v000148	3.4285894666
v000114	3.4298907536
v000177	3.430005759
v000105	3.4300563464
v000277	3.439144415
v000882	3.4450259412
v000370	3.4452890988
v000234	3.4479869087
v000212	3.4534562156
v000083	3.4539758345
v000323	3.4559136877
v000162	3.4573284434
v000760	3.4590428046
v000172	3.4620992535
v000110	3.4622656249
v000394	3.463508657
v000358	3.4649887318
v000134	3.4691238225
v000239	3.4703857622
v000128	3.4747532502
v000460	3.4752805026
v000346	3.4769395034
v000325	3.4773097056
v000922	3.4795984306
v000308	3.4797586801
v000643	3.4828458661
v000048	3.4873373574
v000295	3.4898421714
v000055	3.4907263724
v000107	3.4949971567
v000642	3.4954451925
v000475	3.4961507629
v000621	3.496745036
v000276	3.4973517254
v000416	3.501297127
v000489	3.502887583
v000775	3.5029364181
v000158	3.5032095186
v000160	3.5135976245
v000100	3.5153249773
v000104	3.5164429689
v000026	3.5186122068
v000195	3.5204220263
v000245	3.5205738178
v000094	3.5231624092
v000202	3.5347067332
v000649	3.5354530955
v000804	3.5358461453
v000196	3.5371498361
v000839	3.5442409966
v000054	3.545501886
v000113	3.5463378372
v000213	3.5493167842
v000517	3.5586218657
v000063	3.5590894693
v000230	3.5616448628
v000059	3.5643274619
v000201	3.5690546176
v000125	3.5745426511
v000064	3.5784657508
v000275	3.5796284735
v000540	3.5828286049
v000318	3.5845898261
v000550	3.5896619011
v000654	3.5917143911
v000091	3.5930000449
v000293	3.593068806
v000444	3.5947020996
v000530	3.5972068621
v000185	3.5974329237
v000888	3.5982292805
