Parte parte
da de_o
imprensa imprensa
ignora ignorar
centenas centena
de de
estudos estudo
comprovando comprovar
a o
eficácia eficácia
do de_o
tratamento tratamento
precoce precoce
, ,
finge fingir
não não
saber saber
dos de_o
e-mails e-mails
do de_o
dr dr
. .
Fauci fauci
, ,
esquece esquecer
que que
o o
Texas texas
existe existir
, ,
ignora ignorar
o o
alerta alerta
de de
cientistas cientista
sobre sobre
o o
risco risco
das de_o
vacinas vacina
, ,
e e
por por
aí aí
vai ir
. .
Pode poder
chamar chamar
do de_o
que que
quiser querer
, ,
mas mas
jornalismo jornalismo
não não
é ser
! !
