@GeanLoureiro twitterhandle
As o
estatísticas estatística
asseguram assegurar
que que
o o
vírus vírus
não não
representa representar
risco risco
significativo significativo
para para
jovens jovem
saudáveis saudável
, ,
portanto portanto
, ,
submeter submeter
as o
crianças criança
aos a_o
riscos risco
de de
efeitos efeito
adversos adverso
de de
vacinas vacina
experimentais experimental
que que
têm ter
se se
mostrado mostrar
pouco pouco
eficientes eficiente
é ser
incoerente incoerente
e e
sem sem
sentido sentido
. .
Um um
verdadeiro verdadeiro
absurdo absurdo
! !
