@gazetadopovo twitterhandle
Concentram concentrar
o o
debate debate
da de_o
CPI cpi
na em_o
suposta suposto
demora demora
para para
comprar comprar
vacinas vacina
mas mas
não não
perguntam perguntar
nada nada
sobre sobre
o o
índice índice
de de
eficácia eficácia
das de_o
mesmas mesmo
, ,
e e
criminalizam criminalizar
o o
tratamento tratamento
precoce precoce
sem sem
levar levar
em em
consideração consideração
as o
centenas centena
de de
estudos estudo
com com
resultados resultado
positivos positivo
. .
