@revistaoeste twitterhandle
90 90
% %
de de
eficácia eficácia
em em
um um
grupo grupo
no em_o
qual qual
o o
índice índice
de de
letalidade letalidade
é ser
inferior inferior
a a
0 0
, ,
04 @card@
% %
. .
Aliás aliás
, ,
se se
desconsiderar desconsiderar
as o
comorbidades comorbidade
, ,
o o
índice índice
de de
letalidade letalidade
entre entre
jovens jovem
é ser
zero zero
. .
Me eu
espanta espantar
ver ver
que que
a o
sociedade sociedade
aceita aceitar
isso isso
sem sem
botar botar
na em_o
balança balança
o o
risco risco
x x
benefício benefício
destas de_este
vacinas vacina
experimentais experimental
! !
