SE se
FOSSE ser
TUDO tudo
CERTINHO certo
COMO como
DIZEM dizer
, ,
NÃO não
PRECISARIA precisar
SUBORNAR subornar
NADA nada
. .
GENTE gente
, ,
ISSO isso
É ser
PERIGOSO perigoso
, ,
NÃO não
FOI ser
TESTADA testar
E e
O o
POVO povo
SERÁ ser
A o
COBAIA cobaia
DE de
DÓRIA dório
E e
DOS dos
XINGS xings
LINGS lings
Sinovac sinovac
, ,
fabricante fabricante
da de_o
vacina vacina
chinesa chinês
, ,
subornou subornar
autoridades autoridade
para para
aprovações aprovação
de de
vacinas vacina
gazetabrasil gazetabrasil
. .
com com
. .
br br
/ /
especiais especial
/ /
coro coro
… …
@Gazeta twitterhandle
