@BrazilFight twitterhandle
LOCKDOWN lockdown
E e
MÁSCARAS máscara
não não
evita evitar
o o
contágio contágio
do de_o
Covid covid
NO em_o
PRIMEIRO primeiro
SINTOMA sintoma
NÃO não
ESPERE esperar
, ,
VÁ ir
AO a_o
HOSPITAL hospital
TRATAMENTO tratamento
PRECOCE precoce
JÁ já
! !
HIDROXICLOROQUINA hidroxicloroquina
e e
IVERMECTINA ivermectina
SALVAM salvar
VIDAS vida
! !
IMUNIDADE imunidade
DE de
REBANHO rebanho
JÁ já
! !
VACINAS vacina
SÓ só
COM com
COMPROVAÇÃO comprovação
CIENTÍFICA científico
E e
APÓS após
LIBERAÇÃO liberação
DA de_o
ANVISA anvisa
. .
VACINA vacina
NÃO não
OBRIGATÓRIA obrigatório
. .
