Mais mais
dois dois
jovens jovem
morreram morrer
de de
infarto infarto
hoje hoje
. .
Lembramos lembrar
q q
a o
@CMAJ twitterhandle
divulgou divulgar
pesquisa pesquisa
indicando indicar
que que
o o
risco risco
da de_o
#vacina #vacina
é ser
de de
100 100
mortes morte
p p
/ /
cada cada
100mil 100mil
. .
A o
população população
do de_o
BR br
é ser
de de
214milhões 214milhão
. .
Ou ou
seja ser
, ,
p p
/ /
os o
vacinalovers vacinalovers
se se
sentirem sentir
seguros seguro
, ,
milhares milhar
irão ir
perecer perecer
? ?
cmaj cmaj
. .
ca ca
/ /
content content
/ /
194 194
/ /
45 45
… …
https://t.co/XTrvvK0Rb1 https://t.co/xtrvvk0rb1
