Fonte fonte
: :
bomjesusdalapanoticias bomjesusdalapanoticias
. .
com com
. .
br br
/ /
bom-jesus-da-l bom-jesus-da-l
… …
Mais mais
um um
caso caso
isolado isolar
. .
Ricardo ricardo
de de
Sá sá
, ,
vereador vereador
de de
Bom bom
Jesus jesus
da de_o
Lapa lapa
, ,
faleceu falecer
de de
Infarto infarto
Fulminante fulminante
no em_o
dia dia
09 @card@
/ /
02 @card@
/ /
2022 @card@
, ,
dois dois
dias dia
depois depois
de de
tomar tomar
sua seu
dose dose
de de
reforço reforço
. .
Ele ele
postou postar
nas em_o
redes rede
sociais social
no em_o
dia dia
07 @card@
/ /
02 @card@
/ /
2022 @card@
: :
Tomo tomo
hoje hoje
, ,
07 @card@
/ /
02 @card@
, ,
a o
terceira terceiro
dose dose
, ,
https://t.co/yG2mqH4mRr https://t.co/yg2mqh4mrr
