_NAME_	Factor1	Factor2	Factor3	load	secondary
v000001	-0.211200858	0.0339026788	0.1234767281		
v000002	0.2072977238	0.1551041995	0.0278811283		
v000003	0.3125139235	0.2550361773	-0.247799775		
v000004	0.3439446876	0.1641803305	0.2007496879		
v000005	0.6518818819	-0.066373364	-0.118993497		
v000006	0.0577802721	0.2763246928	0.1872414183		
v000007	0.1539384612	0.3433494198	0.0430552749		
v000008	0.0836315274	0.4615827494	-0.108208607		
v000009	0.0129407129	0.111024242	0.2440838469		
v000010	0.1276280383	0.662462329	-0.121950966		
v000011	0.4327471304	0.0995984383	0.1545957521		
v000012	0.2535327359	0.5098993894	-0.145947643		
v000013	0.573959493	0.313564788	-0.25031107	fac2	1
v000014	0.3124362104	0.2489039088	0.0001531532		
v000015	0.1363352881	0.3527716716	0.5101270551	fac2	1
v000016	0.3330758892	0.5799576593	0.0108611303	fac1	1
v000017	0.0429412492	0.4329334251	0.4567112573	fac2	1
v000018	0.1976459685	0.4320832176	0.2340683874		
v000019	0.6055711019	0.1438488098	0.336980143	fac3	1
v000020	0.4510235249	-0.131875956	0.6363422217	fac1	1
v000021	-0.063886454	0.3821413362	0.4891556377	fac2	1
v000022	0.2271520038	0.6045215487	0.2547225489		
v000023	0.6453710548	0.2343010492	0.3779114531	fac3	1
v000024	0.2684104858	0.7717636718	0.0260091075		
v000025	0.5375904916	-0.16466356	0.6809373175	fac1	1
v000026	-0.125593635	0.7708976581	-0.297819411		
v000027	0.3094072168	0.573713463	-0.115317163	fac1	1
v000028	0.4040381545	0.6256687502	-0.073102526	fac1	1
v000029	0.6876615364	0.2288919481	-0.263413367		
v000030	-0.028799426	0.3519213704	0.4697678036	fac2	1
v000033	0.3955645766	0.3291151099	0.1222080049	fac2	1
v000034	0.2881942599	0.5144494444	0.3653120781	fac3	1
v000035	0.371615125	0.2373445148	0.2928337908		
v000037	0.5526538103	-0.089863403	0.4741124289	fac3	1
v000038	0.0306114013	0.6367148714	-0.249767071		
v000040	0.0501313701	0.350841113	0.403617808	fac2	1
v000042	0.0472475518	0.2757463932	0.2829875342		
v000043	-0.136643251	0.35646522	0.5414078436	fac2	1
v000046	0.3730526673	0.4459806018	0.1811228532	fac1	1
v000047	0.1564008209	0.4569898788	0.1706901243		
v000048	-0.250635621	0.3835281672	0.1148719867		
v000049	-0.247428997	0.2198636216	0.4875645474		
v000050	0.254327943	0.4863693947	0.1446617461		
v000051	0.1868325079	0.474095446	-0.342003356	fac3	1
v000052	0.7335992252	-0.243895228	0.4611130491	fac3	1
v000054	0.5930662388	-0.185876489	0.0241463765		
v000055	0.236911033	0.5789510351	-0.285473742		
v000056	0.037769653	0.0767804842	0.2753054607		
v000059	0.5022795028	0.0917440878	0.2312345058		
v000060	0.5246723958	-0.129543418	0.5234219887	fac3	1
v000062	0.1844362301	0.5388146984	-0.038983483		
v000063	0.373683547	0.4075928573	-0.3042717	fac1	1
v000064	0.4608895844	0.0849845443	0.1597309518		
v000065	0.3602890154	0.1803198346	0.2547549349		
v000066	0.1424631456	-0.150090842	0.3954441874		
v000067	0.3225451766	0.1613421229	0.1382945965		
v000068	-0.105869741	0.2193106802	0.7876587311		
v000070	-0.147029621	0.1986386017	0.3030440901		
v000071	-0.029212368	0.5226240326	0.1579201279		
v000072	-0.087589785	0.7144200338	-0.157149957		
v000073	0.1511174744	0.4357671796	0.2183373094		
v000079	0.0648411648	0.5610162619	0.3203535836	fac3	1
v000081	0.445955118	-0.076241055	0.254198879		
v000083	0.769445988	-0.362575948	-0.000693031	fac2	1
v000085	0.0400831275	0.5895136339	-0.224474242		
v000088	0.4834498033	0.4450647972	-0.161627973	fac2	1
v000091	0.3103725183	0.5532729794	-0.399666633	fac3	1
v000093	-0.023350351	0.3136386079	0.3358123083	fac2	1
v000094	-0.092336048	0.1395523373	0.6023823271		
v000098	0.0608120588	0.5918498235	0.1950243354		
v000101	0.6308389196	-0.060716682	0.0433646749		
