_NAME_	COMMUNAL
v000001	1.1005249806
v000003	2.0364641064
v000006	2.0436035749
v000004	2.128733727
v000002	2.252038975
v000008	2.3047088447
v000012	2.4062688775
v000018	2.41054048
v000009	2.438555183
v000949	2.5110494765
v000948	2.5110494765
v000947	2.5110494765
v000016	2.523420869
v000970	2.5310230014
v000010	2.5938243095
v000005	2.5945881019
v000805	2.6094697167
v000011	2.6217537569
v000990	2.6408503388
v000893	2.6472850728
v000823	2.6836669108
v000007	2.695299012
v000863	2.7120855464
v000818	2.7313720473
v000534	2.7574676601
v000902	2.776397932
v000014	2.7900917428
v000389	2.7999031385
v000020	2.8153475588
v000474	2.8239745098
v000875	2.834308427
v000813	2.851910134
v000991	2.8715255829
v000561	2.9024140941
v000037	2.9122212631
v000982	2.9239765893
v000673	2.930780617
v000951	2.932885188
v000028	2.9425171301
v000015	2.9446882087
v000025	2.9569677187
v000840	2.9773952388
v000916	2.9863791203
v000743	2.9920851309
v000752	3.0048817202
v000999	3.0141402815
v000979	3.0171427899
v000038	3.0172675585
v000142	3.0175813188
v000639	3.0200569272
v000035	3.020143932
v000884	3.0223141187
v000659	3.0367944075
v000043	3.0385177123
v000911	3.0393264496
v000021	3.0404821016
v000257	3.0427274792
v000918	3.0447391618
v000013	3.0582654092
v000584	3.0606316793
v000441	3.062237626
v000784	3.0632379936
v000127	3.0634345459
v000046	3.080327783
v000806	3.088047686
v000027	3.0980630399
v000052	3.1062756456
v000914	3.1103733904
v000022	3.1124596544
v000019	3.1150518289
v000047	3.1191726525
v000867	3.136875139
v000017	3.1372922802
v000040	3.137501731
v000029	3.1438903884
v000152	3.144135537
v000208	3.1480324799
v000634	3.1505445088
v000764	3.156571206
v000742	3.1567373681
v000072	3.157603517
v000221	3.1634252289
v000033	3.1652848438
v000599	3.168455683
v000186	3.171415233
v000109	3.1764718416
v000956	3.1798154207
v000276	3.1878284115
v000425	3.1965195302
v000328	3.1973843789
v000049	3.199550797
v000244	3.2004131093
v000424	3.2126308928
v000650	3.2146889258
v000827	3.2151571989
v000050	3.2166391857
v000354	3.2174318046
v000085	3.219051939
v000220	3.2200228162
v000787	3.2201562933
v000542	3.22530609
v000141	3.2254572934
v000177	3.2283802726
v000024	3.2349303815
v000913	3.2376522087
v000472	3.2487802455
v000290	3.2499349408
v000175	3.2522367662
v000985	3.2620266476
v000374	3.2644659786
v000023	3.2725731189
v000060	3.2727870887
v000468	3.2740194724
v000904	3.2753280834
v000532	3.2772536514
v000253	3.2799881684
v000881	3.2809412583
v000131	3.2816120729
v000042	3.2849564421
v000193	3.2850954475
v000125	3.2857773219
v000489	3.2943507991
v000887	3.2964300708
v000166	3.2975805025
v000034	3.3090173117
v000062	3.3096706676
v000271	3.3121289767
v000937	3.3133346369
v000828	3.31412347
v000234	3.3159075329
v000710	3.3221201651
v000850	3.323753354
v000833	3.3263144538
v000088	3.3324682643
v000030	3.3325465099
v000822	3.3338297498
v000068	3.3349841597
v000321	3.3383669602
v000993	3.3390432442
v000370	3.3404454516
v000411	3.3454668062
v000282	3.3460042568
v000775	3.35088234
v000567	3.3514116598
v000416	3.3534339395
v000637	3.3535761337
v000293	3.3578364555
v000073	3.3589494443
v000112	3.3596156896
v000306	3.3608204049
v000083	3.3635692588
v000837	3.3638090718
v000444	3.3645049114
v000209	3.3687055182
v000896	3.3690652921
v000295	3.3727124939
v000162	3.3736158633
v000361	3.3776569921
v000615	3.3785020415
v000530	3.3788038598
v000644	3.3803662709
v000397	3.3819889625
v000065	3.3840761963
v000195	3.3855094335
v000051	3.3906267673
v000079	3.3982811677
v000540	3.3990417774
v000346	3.4006952328
v000236	3.4099449181
v000438	3.4118415393
v000760	3.4135525768
v000147	3.4187261094
v000064	3.4218277043
v000527	3.4221626333
v000054	3.4224374406
v000804	3.4251080279
v000067	3.4280132514
v000548	3.4314345652
v000277	3.4350250981
v000514	3.4370875368
v000758	3.4371350442
v000201	3.4378194362
v000071	3.4392859383
v000091	3.4451816208
v000117	3.4509819453
v000105	3.4613990446
v000408	3.4637919272
v000531	3.4675339852
v000113	3.4689633222
v000172	3.469332804
v000882	3.4699391104
v000114	3.4729147074
v000267	3.4747432597
v000098	3.4760916081
v000841	3.4766876256
v000819	3.4829319709
v000684	3.4837631134
v000239	3.4866165645
v000965	3.4866533031
v000890	3.4913502562
v000056	3.4915180073
v000922	3.4968945088
v000958	3.4980664116
v000026	3.5025735224
v000110	3.5059312425
v000124	3.506327004
v000213	3.5067306921
v000955	3.5083715272
v000325	3.5111545364
v000460	3.5116581456
v000128	3.5171015837
v000048	3.517638323
v000212	3.5216754285
v000367	3.5292035082
v000308	3.5301502405
v000245	3.5313519271
v000517	3.5330345342
v000358	3.5340204197
v000323	3.537715659
v000081	3.5379620672
v000475	3.5389469605
v000917	3.5454175649
v000275	3.5459665823
v000143	3.5504221843
v000977	3.5508946463
v000118	3.551816948
v000059	3.5528989634
v000200	3.5611165712
v000333	3.5785168932
v000103	3.5813911064
v000136	3.5814715906
v000621	3.5820783174
v000070	3.5853834024
v000422	3.5917525138
v000066	3.5952946989
v000649	3.5996312868
v000196	3.6007572964
v000055	3.6012659566
v000094	3.6028693404
v000185	3.6055588925
v000654	3.6056188973
v000144	3.6106571155
v000554	3.6131020704
v000597	3.6156342938
v000230	3.6182471634
v000160	3.6182905875
v000617	3.6202299272
v000753	3.6225533218
v000158	3.624653627
v000163	3.6257090138
v000134	3.6303427944
v000199	3.6385036539
v000337	3.6396373919
v000183	3.6455864822
v000063	3.6459808988
v000665	3.6461017901
v000393	3.6549329114
v000395	3.6559400812
v000769	3.6607755354
v000791	3.662580599
v000285	3.666025863
v000161	3.6787384143
v000138	3.6809411034
v000685	3.6812128451
v000562	3.6922989354
v000944	3.699012082
v000232	3.6990603409
v000123	3.7021574753
v000799	3.7093340118
v000101	3.7123753467
v000526	3.713456803
v000871	3.7156180866
v000210	3.7189567516
v000490	3.7193368754
v000191	3.7435226436
v000214	3.7518668757
v000111	3.7578084733
v000473	3.7625906635
v000219	3.770531002
v000093	3.7786140849
v000156	3.7799447989
v000133	3.7931923818
v000249	3.7966047399
v000157	3.8038673381
v000296	3.8047896157
v000229	3.8088265079
v000402	3.8144635034
v000228	3.8311341008
v000388	3.8362127018
v000432	3.8452913262
v000606	3.8852737469
v000433	3.8860965526
v000376	3.8935913155
v000139	3.9072915556
v000484	3.9963416451
