@aMaioral_ twitterhandle
Nunca nunca
saberemos saber
se se
quem quem
morreu morrer
foi foi
ou ou
não não
por por
causa causa
da de_o
vacina vacina
. .
Muita muito
gente gente
não não
se se
vacinou vacinar
e e
nem nem
resfriado resfriar
pegou pegar
. .
Outros outro
tantos tanto
, ,
só só
após após
se se
vacinar vacinar
, ,
pegaram pegar
covid covid
, ,
tiveram ter
miocardite miocardite
, ,
AVC avc
, ,
ataque ataque
cardíaco cardíaco
, ,
trombone trombone
, ,
gripe gripe
e e
até até
morreram morrer
etc etc
. .
Verdade verdade
seja ser
dita dizer
! !
