@safiraribeiro3 twitterhandle
pois pois
é ser
, ,
o o
laboratório laboratório
ao a_o
vender vender
para para
o o
governo governo
, ,
seja ser
ele ele
estadual estadual
ou ou
federal federal
, ,
exige exigir
a o
assinatura assinatura
de de
um um
documento documento
que que
isenta isentar
o o
laboratório laboratório
das de_o
ações ação
judiciais judicial
por por
conta conta
do de_o
efeitos efeito
colaterais colateral
, ,
só só
que que
o o
MAIA maia
não não
quer querer
deixar deixar
o o
povo povo
assinar assinar
um um
termo termo
onde onde
informa informar
os o
efeitos efeito
da de_o
vacina vacina
. .
