@carlosjordy twitterhandle
- -
Para para
a o
sociedade sociedade
, ,
fique ficar
em em
casa casa
, ,
solde solde
a o
porta porta
da de_o
loja loja
, ,
multa multa
, ,
vacina vacina
obrigatória obrigatório
, ,
aumento aumento
de de
impostos imposto
, ,
e e
economia economia
a o
gente gente
vê ver
depois depois
; ;
- -
Para para
políticos político
e e
amigos amigo
da de_o
imprensa imprensa
, ,
reajuste reajuste
de de
45 45
a a
70 70
% %
nas em_o
verbas verba
( (
pagas pagar
com com
o o
imposto imposto
do de_o
pobre pobre
) )
; ;
Mas mas
acredite acreditar
, ,
é ser
tudo tudo
por por
uma um
boa bom
causa causa
! !
