@revistaoeste twitterhandle
Já já
que que
as o
vacinas vacina
não não
funcionam funcionar
como como
barreira barreira
efetiva efetivo
para para
a o
transmissão transmissão
do de_o
vírus vírus
, ,
o o
passaporte passaporte
sanitário sanitário
nada nada
mais mais
é ser
do de_o
que que
uma um
aberração aberração
autoritária autoritário
, ,
um um
instrumento instrumento
de de
coação coação
para para
forçar forçar
a o
sociedade sociedade
a a
tomar tomar
vacinas vacina
sem sem
estudos estudo
suficientemente suficientemente
robustos robusto
quanto quanto
a o
segurança segurança
. .
