file	fac1	fac2	fac3
t000003	1	3	1
t000004	2	1	1
t000005	0	0	0
t000006	0	1	0
t000011	2	4	0
t000015	3	1	3
t000018	1	0	0
t000027	1	2	2
t000031	1	1	0
t000037	0	1	1
t000050	-1	3	3
t000053	1	0	2
t000065	0	2	2
t000067	0	0	2
t000070	2	0	0
t000071	3	1	0
t000074	0	2	2
t000081	2	2	0
t000083	1	1	1
t000086	1	0	2
t000087	1	0	2
t000096	3	3	2
t000099	1	1	2
t000103	0	2	0
t000105	0	0	0
t000110	1	0	0
t000114	2	1	2
t000117	1	1	1
t000118	0	5	0
t000123	1	1	1
t000124	2	2	0
t000126	1	2	0
t000139	0	1	1
t000143	0	1	1
t000153	0	2	0
t000156	1	2	1
t000157	2	1	1
t000160	2	1	1
t000178	1	2	2
t000181	0	0	0
t000189	2	0	0
t000192	1	1	1
t000195	0	4	0
t000216	1	1	0
t000220	2	1	1
t000224	0	1	1
t000226	0	1	1
t000242	1	4	0
t000243	1	2	1
t000244	3	3	0
t000245	3	1	2
t000251	0	2	0
t000257	1	2	2
t000266	0	0	0
t000271	1	0	1
t000272	3	0	0
t000278	0	-1	2
t000287	2	3	0
t000288	2	1	1
t000292	4	0	0
t000295	4	1	0
t000296	0	3	0
t000299	3	3	0
t000303	3	1	0
t000304	0	3	2
t000308	2	1	0
t000320	1	0	0
t000322	2	2	0
t000325	1	0	-1
t000327	0	2	1
t000329	0	0	0
t000330	2	4	0
t000332	0	0	0
t000335	0	2	0
t000336	0	1	0
t000337	0	1	0
t000343	0	3	0
t000346	0	1	0
t000347	0	1	0
t000351	0	1	1
t000353	0	0	0
t000355	0	1	0
t000358	0	1	0
t000365	0	1	0
t000370	4	2	0
t000375	0	5	0
t000377	1	5	1
t000379	0	1	1
t000383	1	4	0
t000386	0	3	1
t000387	0	3	0
t000388	0	1	0
t000389	1	0	0
t000394	2	2	0
t000396	0	1	0
t000397	0	0	0
t000398	0	1	0
t000401	1	2	0
t000402	0	1	0
t000412	-1	0	0
t000413	2	1	0
t000419	1	0	0
t000420	0	1	-1
t000422	1	0	0
t000424	1	0	0
t000426	1	1	1
t000427	0	0	0
t000429	1	2	-1
t000432	0	0	1
t000433	0	1	1
t000434	2	1	1
t000435	5	0	1
t000438	1	1	1
t000439	0	0	0
t000441	0	4	0
t000445	1	2	0
t000446	0	0	0
t000448	0	2	0
t000449	0	0	0
t000450	0	2	0
t000452	1	4	0
t000455	0	1	1
t000457	2	2	0
t000462	0	1	0
t000465	0	1	0
t000469	0	0	1
t000470	1	6	1
t000471	0	2	0
t000473	0	0	0
t000475	2	2	3
t000476	0	0	0
t000477	0	2	0
t000479	1	2	0
t000480	0	0	1
t000481	0	1	0
t000484	0	1	1
t000485	0	4	0
t000486	2	1	0
t000487	1	4	1
t000489	0	1	0
t000490	0	1	0
t000491	1	1	1
t000492	2	5	0
t000495	0	0	0
t000496	1	0	0
t000497	2	1	0
t000498	2	2	0
t000499	2	2	3
t000500	0	1	0
t000501	1	0	0
t000502	0	3	0
t000503	2	1	0
t000504	1	5	0
t000505	0	3	1
t000506	0	1	0
t000507	1	3	1
t000508	1	2	2
t000510	0	1	0
t000511	0	1	1
t000512	0	1	1
t000513	1	0	0
t000516	0	1	0
t000519	2	4	2
t000521	0	3	0
t000522	1	0	0
t000524	0	1	0
t000526	1	5	0
t000529	0	1	0
t000534	1	0	0
t000535	1	1	0
t000536	0	0	0
t000537	0	0	0
t000538	0	2	0
t000539	2	4	0
t000540	2	2	0
t000541	-1	2	0
t000542	0	1	1
t000544	1	1	1
t000550	0	2	0
t000553	0	1	0
t000555	1	1	2
t000556	0	2	1
t000557	0	3	1
t000559	1	0	3
t000561	1	2	1
t000562	0	1	0
t000564	0	0	0
t000565	0	2	-1
t000567	-1	1	0
t000568	1	6	0
t000569	1	1	0
t000570	2	1	2
t000571	0	0	1
t000572	0	0	0
t000574	0	0	0
t000575	0	1	0
t000577	1	0	1
t000578	1	0	0
t000582	0	4	1
t000584	2	1	0
t000585	3	1	0
t000588	0	0	0
t000590	0	2	0
t000591	1	1	0
t000592	0	3	0
t000595	0	0	0
t000596	0	3	0
t000598	0	2	1
t000600	-1	0	0
t000603	2	0	1
t000604	0	0	0
t000605	1	2	0
t000606	1	2	0
t000607	1	0	0
t000608	0	5	1
t000611	1	0	0
t000612	-1	0	1
t000614	1	0	0
t000615	0	1	0
t000616	0	3	1
t000617	0	1	0
t000618	1	1	1
t000619	1	1	0
t000620	1	1	0
t000621	1	0	0
t000622	1	0	0
t000623	1	1	0
t000624	2	1	0
t000625	0	0	0
t000626	0	0	0
t000628	1	0	0
t000629	1	0	1
t000631	1	0	0
t000632	0	0	0
t000633	1	1	0
t000637	3	2	0
t000638	1	1	1
t000639	2	0	0
t000640	0	2	1
t000642	1	1	0
t000643	1	0	0
t000644	1	0	0
t000647	1	0	0
t000649	1	3	1
t000650	1	0	0
t000651	1	0	0
t000652	0	0	0
t000653	0	2	1
t000654	1	0	0
t000656	1	2	0
t000658	0	2	0
t000659	2	1	2
t000660	1	3	0
t000666	1	1	0
t000667	0	0	0
t000668	1	2	1
t000669	0	4	0
t000676	3	2	0
t000679	1	0	0
t000680	0	2	2
t000681	-1	1	0
t000682	0	-1	2
t000683	1	0	1
t000689	1	1	1
t000690	0	0	0
t000692	0	0	0
t000694	1	1	0
t000695	-6	1	1
t000696	0	1	3
t000698	0	4	0
t000701	0	1	1
t000702	0	2	4
t000703	0	0	0
t000708	1	0	0
t000710	1	2	3
t000711	0	0	2
t000712	1	2	0
t000718	0	0	0
t000721	0	0	0
t000723	1	3	0
t000724	1	1	0
t000725	1	0	0
t000726	2	2	1
t000727	2	2	2
t000728	-3	1	1
t000729	-6	1	1
t000731	2	2	0
t000733	0	0	1
t000737	-3	1	1
t000738	-6	1	1
t000739	0	2	0
t000740	0	2	0
t000741	1	0	0
t000742	-3	1	1
t000743	-6	1	1
t000745	-3	1	1
t000747	0	0	4
t000751	0	1	1
t000752	0	0	2
t000755	1	1	0
t000756	1	1	0
t000757	0	1	0
t000762	-3	1	1
t000763	-6	1	1
t000764	-3	1	1
t000765	-6	1	1
t000766	1	0	0
t000767	3	2	1
t000768	0	0	2
t000769	-1	1	2
t000770	1	4	1
t000771	0	0	2
t000772	0	2	0
t000773	1	0	0
t000774	1	0	0
t000776	0	2	0
t000779	0	2	1
t000780	1	4	0
t000781	0	1	1
t000782	2	4	2
t000784	0	2	1
t000785	0	2	5
t000790	1	2	0
t000791	-1	1	2
t000792	1	3	0
t000794	1	2	0
t000797	0	5	0
t000798	0	5	1
t000799	0	2	2
t000801	1	0	0
t000802	-1	1	2
t000803	0	2	0
t000804	0	4	1
t000805	0	2	0
t000806	0	0	0
t000808	0	0	1
t000810	1	0	0
t000812	0	3	0
t000813	0	2	0
t000814	1	3	2
t000817	1	1	0
t000820	0	2	1
t000821	3	3	2
t000823	1	3	2
t000825	-1	1	2
t000826	0	0	0
t000829	0	2	0
t000830	0	4	1
t000836	1	3	2
t000837	0	1	2
t000839	1	0	2
t000841	2	4	2
t000844	0	1	1
t000848	0	0	2
t000849	-1	1	2
t000853	2	2	0
t000855	0	4	2
t000861	3	4	0
t000862	0	0	0
t000865	0	3	1
t000866	0	3	0
t000867	0	0	2
t000868	-1	1	2
t000869	2	4	2
t000870	0	1	1
t000871	2	4	2
t000872	2	4	2
t000873	2	4	2
t000874	2	4	2
t000875	-1	1	2
t000876	2	4	2
t000877	-1	1	2
t000878	2	4	2
t000879	1	1	4
t000881	-1	1	2
t000882	0	1	0
t000883	2	4	2
t000884	2	4	2
