@SigaGazetaBR twitterhandle
É ser
a o
lógica lógico
elementar elementar
. .
. .
. .
mas mas
vai ir
dizer dizer
isso isso
pro pro
povo povo
que que
se se
dispõe dispor
a a
usar usar
esse esse
tipo tipo
de de
máscara máscara
. .
São ser
os o
mesmos mesmo
que que
acreditam acreditar
no em_o
isolamento isolamento
social social
, ,
na em_o
vacina vacina
expressa expressar
, ,
na em_o
bondade bondade
íntegra íntegro
e e
indubitável indubitável
dos de_o
políticos político
salvadores salvador
de de
vidas vida
humanas humano
, ,
e e
na em_o
imprensa imprensa
. .
Só só
rindo rir
! !
