@tnbrasiloficial twitterhandle
As o
estatísticas estatística
mostram mostrar
que que
jovens jovem
saudáveis saudável
não não
correm correr
risco risco
significativo significativo
de de
morte morte
por por
covid covid
, ,
já já
em em
relação relação
às a_o
vacinas vacina
as o
estatísticas estatística
não não
têm ter
se se
mostrado mostrar
tão tão
otimistas otimista
. .
Infelizmente infelizmente
as o
pessoas pessoa
foram ser
induzidas induzir
a a
terem ter
medo medo
excessivo excessivo
do de_o
vírus vírus
e e
confiança confiança
excessiva excessivo
nas em_o
vacinas vacina
. .
