ISTO isto
PRESIDENTE presidente
, ,
SE se
O o
DITADORIA ditadoria
QUER quer
MANDAR mandar
BILHÕES bilhão
PARA para
OS os
COMUNAS comuna
CH ch
! !
NESES neses
, ,
QUE que
MANDE mandar
DO de_o
BOLSO bolso
DELE de_ele
. .
. .
. .
. .
VACH vach
! !
NA em_o
NÃOOOO nãoooo
Governo governo
Bolsonaro bolsonaro
avança avançar
em em
conversas conversa
para para
comprar comprar
vacina vacina
da de_o
Pfizer pfizer
contra contra
Covid-19 covid-19
gazetabrasil gazetabrasil
. .
com com
. .
br br
/ /
especiais especial
/ /
coro coro
… …
via via
@Gazeta twitterhandle
