Vezes vezes
10 10
US us
cada cada
milhões milhão
e e
milhões milhão
do de_o
povo povo
mineiro mineiro
de de
BH bh
jogados jogar
no em_o
lixo lixo
, ,
por por
outro outro
ditador ditador
da de_o
calça calça
larga largo
. .
. .
Prefeito prefeito
de de
BH bh
, ,
Alexandre alexandre
Kalil kalil
compra comprar
4 4
milhões milhão
de de
doses dose
da de_o
vacina vacina
chinesa chinês
gazetabrasil gazetabrasil
. .
com com
. .
br br
/ /
brasil brasil
/ /
prefeit prefeit
… …
via via
@Gazeta twitterhandle
