@leandroruschel twitterhandle
Estamos estar
desprovidos desprover
de de
justiça justiça
. .
Aprovar aprovar
o o
consumo consumo
de de
drogas droga
, ,
proibir proibir
o o
tratamento tratamento
precoce precoce
, ,
forçar forçar
a a
tomar tomar
vacinas vacina
experimentais experimental
, ,
ideologia ideologia
de de
gênero gênero
nas em_o
escolas escola
, ,
engolir engolir
que que
corruptos corrupto
são ser
inocentes inocente
, ,
ver ver
a o
mentira mentira
ser ser
chamada chamar
de de
verdade verdade
e e
ficarmos ficar
calados calar
pra pra
não não
sermos ser
presos prender
. .
