VACHINA vachina
EXPERIMENTAL experimental
SE se
DA de_o
EM em
COBAIA cobaia
, ,
MAIS mais
O o
POVO povo
NÃO não
VAI ir
SER ser
COBAIA cobaia
NÃO não
, ,
VÁ ir
VC vc
E e
SEUS seu
COMUNAS comuna
COM com
ESSA esse
PORCARIA porcaria
PRA pra
P p
. .
. .
. .
. .
. .
. .
. .
. .
Doria doria
ironiza ironizar
Bolsonaro bolsonaro
e e
agradece agradecer
o o
apelido apelido
de de
' '
médico médico
do de_o
Brasil brasil
' '
gazetabrasil gazetabrasil
. .
com com
. .
br br
/ /
politica politicar
/ /
doria doria
… …
via via
@A twitterhandle
