SE se
DEPUTADOS deputado
E e
SENADORES senador
TIVESSEM ter
VERGONHA vergonha
NA em_o
CARA cara
, ,
JÁ já
TERIAM ter
ABERTO abrir
UMA um
CPI cpi
DA de_o
CORONAVAC coronavac
. .
@SenadoFederal twitterhandle
, ,
@camaradeputados twitterhandle
Butantan butantan
deu dar
" "
jeitinho jeito
" "
para para
tornar tornar
vacina vacina
eficaz eficaz
, ,
mas mas
números número
revelam revelar
malabarismo malabarismo
; ;
entenda entender
estudosnacionais estudosnacional
. .
com com
/ /
30424 @card@
/ /
butantan butantan
… …
via via
@estudosn twitterhandle
