@luislacombereal twitterhandle
Entreviste entreviste
Dra dra
. .
CHINDA chinda
BRANDOLINO brandolino
, ,
conforme conforme
ela ela
o o
RNA rna
utilizado utilizar
pela por_o
vacina vacina
de de
Oxford oxford
causará causar
esterilização esterilização
em em
massa massa
. .
https://t.co/Chzlf8JJGm https://t.co/chzlf8jjgm
