@paulomathias twitterhandle
As o
pessoas pessoa
estão estar
sendo ser
induzidas induzir
a a
acreditar acreditar
numa em_um
vacina vacina
milagrosa milagroso
na em_o
mesma mesmo
proporção proporção
em em
que que
foram ser
induzidas induzir
a a
duvidar duvidar
do de_o
tratamento tratamento
precoce precoce
, ,
e e
sequer sequer
estão estar
levando levar
em em
consideração consideração
os o
índices índice
de de
letalidade letalidade
da de_o
doença doença
para para
calcular calcular
o o
custo custo
x x
benefício benefício
destas de_este
vacinas vacina
expressas expressar
! !
