Acreditam acreditar
em em
vacinas vacina
desenvolvidas desenvolver
as o
pressas pressa
e e
sem sem
estudos estudo
suficientes suficiente
para para
garantir garantir
tanto tanto
eficácia eficácia
quanto quanto
segurança segurança
, ,
mas mas
criminalizam criminalizar
a o
tentativa tentativa
de de
médicos médico
de de
usar usar
remédios remédio
já já
disponíveis disponível
na em_o
luta luta
para para
salvar salvar
seus seu
pacientes paciente
, ,
e e
ainda ainda
por por
cima cima
se se
dizem dizer
a a
favor favor
da de_o
ciência ciência
! !
