_NAME_	Factor1	Factor2	Factor3	load	secondary
v000001	-0.219800687	0.158441095	0.0140998366		
v000002	0.0915505355	0.1666425031	0.0646609956		
v000003	0.2702306268	-0.107208971	0.3144000695		
v000004	0.6178617472	0.1147683732	0.3160678711	fac3	1
v000005	0.1107042665	0.3394877138	0.253242416		
v000006	-0.189145795	0.1953605444	0.1407034164		
v000007	-0.071812907	0.1072254579	0.1324613344		
v000008	-0.193504088	-0.042132013	0.3038716296		
v000009	-0.217767672	-0.136788566	0.5090501157		
v000010	0.2897251149	0.3240823251	0.1889968244		
v000011	-0.196690824	0.2463266441	0.0388133154		
v000012	0.0742421758	0.0005266895	0.3708280134		
v000013	0.5500568895	0.1239734524	0.2432060988		
v000014	0.1229737423	0.1294658219	0.3094153465		
v000015	-0.29906879	0.5912486606	0.2786692165		
v000016	-0.307296178	0.3503316287	0.3749887073	fac2	1
v000017	-0.135122711	0.4076331201	0.321943993	fac3	1
v000018	-0.003238538	0.1185489366	0.4902152992		
v000019	0.241609307	0.4493671318	0.3498103452	fac3	1
v000020	0.2128544785	0.7947448842	0.0559848919		
v000021	-0.49447286	0.245724979	0.4187498775	fac3	1
v000022	0.2412368941	0.6694917752	0.2590665406		
v000023	0.1249359832	0.8177305431	0.1703227956		
v000024	-0.28827709	0.1412753046	0.5875245754		
v000025	0.5776099231	-0.065781855	0.4237424033	fac3	1
v000026	-0.365162712	-0.091639667	0.6630540849	fac1	1
v000028	-0.109614833	-0.013106276	0.6874695561		
v000029	0.0584914887	-0.0548955	0.5509988305		
v000030	-0.4392254	0.2664112387	0.3249225849	fac3	1
v000031	0.0875753506	0.271453251	0.2660716247		
v000034	0.1889305181	-0.060011685	0.4542698747		
v000035	-0.253483996	0.389904885	0.4694857576	fac2	1
v000036	0.1340204179	0.7207995651	0.0961699928		
v000037	0.6780265346	0.0363803528	0.6357517699	fac3	1
v000038	-0.313682362	0.2004600561	0.3236398863	fac1	1
v000040	-0.277787668	0.4089614682	0.1942567815		
v000041	-0.427390377	-0.410018262	0.6090925142	fac1	1
v000042	-0.196514551	0.2946285617	0.3886250959		
v000043	0.0000619688	0.1731629712	0.4772007126		
v000044	-0.621668637	0.2726908465	0.3151807033	fac3	1
v000046	-0.238657281	-0.4057541	0.5540737532	fac2	1
v000048	-0.091891025	0.2222399409	0.4291213051		
v000049	-0.507961848	0.1447860288	0.2435583344		
v000050	0.5349619706	0.7721427065	0.0763133452	fac1	1
v000051	0.1228976986	-0.163942623	0.3024227957		
v000053	-0.39705047	-0.08352078	0.2305919676		
v000054	0.5764542058	0.3014803307	0.1341313236	fac2	1
v000057	0.0441149942	-0.084051218	0.4267167224		
v000058	0.3129810067	0.7685718001	-0.005906327	fac1	1
v000060	-0.07344353	0.1645440282	0.335072887		
v000061	0.2021560106	0.4693448821	0.2669833974		
v000062	0.2699725382	-0.044320565	0.3203344634		
v000063	-0.192349302	-0.14629302	0.5970916909		
v000064	0.0125685656	0.6257871311	0.1204437861		
v000065	0.2238403545	0.4723137735	0.1523816903		
v000066	-0.039506992	0.0648950623	0.4764689344		
v000067	-0.027874337	0.2836935283	0.1380051286		
v000068	-0.502306449	0.7458115801	0.1069360021	fac1	1
v000069	-0.199612514	-0.433623598	0.642278089	fac2	1
v000070	-0.33040432	0.033259206	0.1778331632		
v000071	-0.379079363	0.0519544913	0.440875674	fac1	1
v000072	-0.422103417	-0.467446236	0.6905524725	fac2	1
v000078	0.3330907441	0.4893121004	0.0130908197	fac1	1
v000079	0.8464384556	0.2024665035	0.288339319		
v000080	-0.194792474	0.2735576509	0.4006461651		
v000081	-0.161275736	-0.26626233	0.3740426698		
v000083	0.3290214709	-0.032273398	0.4513150928	fac1	1
v000084	0.0447968924	0.6335229268	0.0284502177		
v000087	0.1361646722	-0.190683094	0.3894957887		
v000090	-0.323704199	0.4016617219	0.230943146	fac1	1
v000093	0.5057101452	0.169643444	0.200798821		
v000095	-0.369059168	0.1321056867	0.3676147188	fac3	1
v000099	-0.360951341	0.0692890127	0.4974245463	fac1	1
v000101	1.1067489541	0.0130751567	0.0334612481		
v000104	-0.459645465	-0.337673724	0.4568205038	fac3	1
v000105	1.1322427697	0.0816015804	0.0932741575		
v000108	-0.425154275	0.3472038452	0.4575415529	fac1	1
v000109	0.4991449548	0.170304342	0.1519824009		
v000111	-0.386010612	-0.038823902	0.5217084133	fac1	1
v000112	0.7691081417	0.1696994384	0.4790880862	fac3	1
v000113	-0.454080735	0.014486535	0.4901690391	fac1	1
v000114	-0.455375344	0.8144065988	-0.132356888	fac1	1
v000118	-0.203031007	0.3288903266	0.379194122	fac2	1
v000119	-0.309911925	0.3363511557	0.1254913742	fac1	1
v000120	0.6909719275	0.1816630112	0.2803143624		
v000121	0.4741417938	0.1147207686	-0.111730717		
v000123	0.6686063618	0.0795745374	0.4034995782	fac3	1
v000125	-0.110267395	0.0459644618	0.284310812		
v000127	-0.267051835	-0.279291476	0.7170252076		
v000130	-0.211424266	0.0841047757	0.3417827357		
v000132	0.9313851913	0.0755096057	0.1798724903		
v000133	-0.157244854	0.0110080938	0.5900228595		
v000134	1.0587949317	-0.001107088	0.3140468774	fac3	1
v000136	0.0153628247	0.3532887518	0.3010005567	fac3	1
v000137	0.0071314261	-0.128053126	0.4826304308		
v000138	-0.199295059	0.212040088	0.1690548867		
v000139	0.1302988984	-0.235171737	0.5622418604		
v000140	-0.460094955	0.2463235966	0.3635273436	fac3	1
v000141	-0.147069578	-0.095373955	-0.035258597		
v000144	-0.096798918	0.5344870183	0.2084570698		
v000146	-0.108782821	0.3201845033	0.0315954871		
v000152	0.2517814013	-0.053121105	0.5264785304		
v000154	0.0174554741	-0.141230844	0.4933103969		
v000156	0.7175538396	0.3621226912	0.2384256446	fac2	1
v000157	-0.311232668	-0.319949847	0.6087289088	fac2	1
v000158	0.0657193685	0.0943555902	0.2703856116		
v000161	-0.370933631	-0.059772651	0.0886001603		
v000162	-0.21212157	0.0442778846	0.3059885096		
v000163	-0.5016892	0.8663303584	-0.148991422	fac1	1
v000165	0.865846756	0.2320910454	0.2905178261		
v000169	-0.088059604	0.3471668935	0.1908676605		
v000172	-0.257060855	0.2181573493	0.5267771418		
v000175	1.1434428641	-0.076774557	0.1830915278		
v000177	-0.161127113	-0.016180636	0.4475982993		
v000184	-0.313404693	0.3430030567	-0.001291756	fac1	1
v000186	-0.134957296	-0.156347742	0.0980684529		
v000190	0.6460947814	-0.274437642	0.2004521632		
v000191	0.1977187281	-0.178524501	0.3026793184		
v000193	-0.335387723	-0.012703724	0.3867275567	fac1	1
v000198	0.0231727125	0.330364199	0.1215214689		
v000199	0.3774238731	0.1535003575	-0.134772374		
v000203	-0.088166988	0.8688298385	-0.156609824		
v000206	-0.307761849	0.1956543702	-0.211357278		
v000207	-0.200120509	0.4299031931	0.1260631426		
v000208	0.1978798648	-0.023379393	0.3685114767		
v000209	0.0271127452	0.889715093	-0.282551632		
v000213	-0.505715635	0.0326063112	0.2801154858		
v000215	-0.305673668	0.9179514551	-0.11284996	fac1	1
v000216	0.1841533292	-0.137318249	-0.065965439		
v000217	0.2841102714	0.463713879	-0.251106944		
v000218	-0.544785431	-0.138835881	0.5112823883	fac3	1
v000219	-0.080184227	0.6159857413	-0.286095441		
v000222	-0.217552546	0.3253658399	0.0160058614		
v000223	-0.086849003	0.4208141154	-0.08911236		
v000230	0.3971141335	0.4350773154	-0.017572321	fac1	1
v000232	-0.31860187	-0.034723105	-0.072875891		
v000234	0.0166047742	-0.230139998	-0.332357195		
v000235	-0.372783837	0.0101029831	-0.112601298		
v000236	-0.481302939	-0.249828863	0.1918786561		
v000237	0.3921789034	-0.314299899	0.1910691327	fac2	1
v000241	-0.213627268	0.4521079296	-0.122885958		
v000246	-0.104218631	-0.248477719	-0.000770682		
v000248	0.5573718898	0.3581167678	0.1086378979	fac2	1
v000249	-0.254626824	0.26254499	-0.231190786		
v000259	0.2546311512	-0.427012383	-0.268339522		
v000260	0.0279414001	-0.255007871	0.3183929977		
v000261	-0.150547326	-0.404692929	0.2830628109		
v000262	-0.281395809	0.252658036	0.3074200765		
v000263	-0.348938166	-0.254576337	0.1953600277		
v000268	-0.258500268	-0.103155336	-0.348914006		
v000271	-0.327746403	-0.004346756	0.2631152773		
