file	fac1	fac2	fac3
t000003	-2	1	1
t000004	-2	2	1
t000005	0	0	0
t000006	-2	0	0
t000011	-4	2	0
t000015	-3	2	1
t000018	0	1	0
t000027	-2	-1	1
t000031	-2	1	0
t000037	-2	-1	0
t000050	-5	-1	0
t000053	1	0	2
t000065	-4	0	0
t000067	0	0	1
t000070	0	1	0
t000071	-1	2	0
t000074	-3	-1	1
t000081	-2	2	0
t000083	-2	1	0
t000086	-3	1	0
t000087	-3	1	0
t000096	-4	3	1
t000099	-2	1	1
t000103	-2	0	0
t000105	-1	0	0
t000110	0	0	0
t000114	-2	1	0
t000117	-2	1	0
t000118	-5	-1	0
t000123	-2	1	0
t000124	-2	2	0
t000126	-3	1	0
t000139	-1	0	-1
t000143	-2	0	0
t000153	-2	0	0
t000156	-2	1	0
t000157	-2	2	0
t000160	-2	2	0
t000178	-3	1	0
t000181	0	0	0
t000189	1	2	0
t000192	-2	1	0
t000195	-4	0	-1
t000216	0	0	-1
t000220	-1	2	-1
t000224	-2	0	0
t000226	-2	0	0
t000242	-4	1	0
t000243	-2	1	0
t000244	-3	3	0
t000245	-2	2	0
t000251	-4	0	0
t000257	-2	0	2
t000266	0	0	0
t000271	-1	1	0
t000272	0	3	0
t000278	-1	0	0
t000287	-2	1	0
t000288	-1	2	0
t000292	0	4	0
t000295	-1	4	0
t000296	-3	0	0
t000299	-2	3	-1
t000303	0	3	0
t000304	-5	0	-1
t000308	-1	1	0
t000320	0	1	0
t000322	-1	2	-1
t000325	0	1	-1
t000327	-2	0	1
t000330	-1	2	-1
t000332	-1	0	0
t000335	-3	0	0
t000336	0	0	-1
t000337	0	0	-1
t000343	-3	0	0
t000346	-1	0	0
t000347	-1	0	0
t000351	-2	0	0
t000353	-1	0	0
t000355	-1	0	0
t000358	-1	0	0
t000365	-1	0	0
t000370	-1	4	-1
t000375	-3	0	0
t000377	-3	0	-1
t000379	-2	0	1
t000383	-4	1	0
t000386	-2	0	0
t000387	-3	0	0
t000388	-1	0	0
t000389	0	1	0
t000394	-2	1	0
t000396	-1	0	0
t000398	0	0	-1
t000401	-1	1	-1
t000402	-1	-1	0
t000412	0	-1	0
t000413	-2	2	-1
t000419	0	0	0
t000420	-3	0	-1
t000422	0	1	0
t000424	0	1	0
t000426	-2	1	0
t000427	0	0	0
t000429	-2	1	-1
t000432	0	0	1
t000433	-1	0	1
t000434	-1	1	0
t000435	0	5	1
t000438	-1	1	1
t000439	0	0	0
t000441	-3	0	0
t000445	-2	1	0
t000446	0	0	0
t000448	-2	0	0
t000449	-1	0	0
t000450	-2	0	0
t000452	-4	1	0
t000455	-1	0	-1
t000457	-1	1	-1
t000462	0	0	-1
t000465	-2	0	0
t000469	-2	0	0
t000470	-6	0	0
t000471	-1	0	0
t000473	0	0	0
t000475	0	1	-1
t000476	0	0	0
t000477	-1	0	0
t000479	-2	1	0
t000480	0	0	1
t000481	-1	0	0
t000484	-1	0	0
t000485	-3	0	-1
t000486	-2	2	0
t000487	-7	0	0
t000489	-1	0	0
t000490	-1	0	0
t000491	-2	1	0
t000492	-7	2	0
t000495	0	0	0
t000496	0	0	0
t000497	0	2	0
t000498	-1	2	0
t000499	0	1	-1
t000500	-1	0	0
t000501	0	1	0
t000502	-3	0	0
t000503	-1	1	0
t000504	-4	2	0
t000505	-3	-1	0
t000506	-1	0	0
t000507	-6	1	0
t000508	-3	1	1
t000510	-1	0	0
t000511	-2	0	0
t000512	-2	0	0
t000513	0	1	0
t000516	0	0	0
t000519	-3	2	2
t000521	-3	0	0
t000522	0	1	0
t000524	-1	-1	0
t000526	-3	0	0
t000529	0	0	0
t000534	0	1	0
t000535	0	1	-1
t000536	0	0	0
t000537	0	0	0
t000538	-3	0	0
t000539	-2	2	-1
t000540	-4	2	0
t000541	-1	-1	0
t000542	-2	0	1
t000544	-1	1	-1
t000550	-2	0	0
t000553	-1	0	0
t000555	-2	1	0
t000556	-3	0	0
t000557	-4	0	0
t000559	-2	0	2
t000561	-2	1	1
t000562	-1	1	0
t000564	0	0	0
t000565	-2	0	-1
t000567	0	-1	0
t000568	-5	0	-1
t000569	-1	1	0
t000570	-3	2	0
t000571	-1	0	0
t000572	0	0	0
t000575	-2	1	0
t000577	0	1	1
t000578	0	1	0
t000582	-4	0	0
t000584	0	2	0
t000585	0	3	0
t000588	0	0	0
t000590	-1	0	-1
t000591	-1	0	0
t000592	-2	0	-1
t000595	0	0	0
t000596	-3	0	0
t000598	-1	0	0
t000600	0	0	0
t000603	0	1	1
t000604	0	0	0
t000605	-1	0	-1
t000606	-1	0	-1
t000607	0	1	0
t000608	-3	0	-1
t000611	0	1	0
t000612	-2	-1	0
t000614	0	1	0
t000615	-1	0	0
t000616	-3	0	1
t000617	-1	0	0
t000618	-2	1	0
t000619	-1	0	0
t000620	-1	0	0
t000621	0	1	0
t000622	0	1	0
