_NAME_	Factor1	Factor2	Factor3	load	secondary
v000001	-0.269259415	-0.007091188	0.0624582485		
v000002	-0.174229772	0.2576613514	-0.10532658		
v000003	-0.167488135	0.3305623786	-0.291133433		
v000004	0.2288240907	0.6164501055	-0.086442289		
v000005	-0.285259585	0.4383104813	0.0668712206		
v000006	-0.354350866	0.1366282779	0.1056947822		
v000007	-0.373116537	0.212111264	-0.063333197		
v000008	-0.525730565	0.1395496082	-0.192215641		
v000009	-0.492025762	0.1387891635	-0.147720932		
v000010	-0.041624841	0.4477823886	0.122380696		
v000011	-0.206641577	0.0630648367	0.2661226157		
v000012	-0.470665327	0.3471113509	-0.279003693	fac2	1
v000013	-0.260306562	0.6819573642	-0.463376367	fac3	1
v000014	-0.316748761	0.3580042043	-0.067150602	fac1	1
v000015	-0.500314993	0.3008070673	0.4121296484	fac3	1
v000016	-0.34228833	0.1469202936	0.5257649911	fac1	1
v000017	-0.512650971	0.330260251	0.1541086661	fac2	1
v000018	-0.550026803	0.4475384521	-0.07421981	fac2	1
v000019	-0.071290838	0.6241237767	0.2263916941		
v000021	-0.531268693	0.055969439	0.4333081637	fac3	1
v000022	-0.233237324	0.6643108728	0.278377138		
v000023	0.1330654126	0.5234147276	0.7686210714	fac2	1
v000024	-0.517258305	0.2985816435	0.1973619388		
v000025	-0.093021605	0.6477273528	-0.338101485	fac3	1
v000026	-0.649486062	0.1860287884	-0.021221623		
v000029	-0.499247106	0.3842645741	-0.252911145	fac2	1
v000030	-0.457887145	0.096894642	0.3855248055	fac3	1
v000031	-0.345674079	0.4402737227	-0.017840074	fac1	1
v000034	-0.433378606	0.3885619063	-0.364064266	fac2	1
v000035	-0.531066588	0.3512506129	0.3101610076	fac2	1
v000036	-0.003530903	0.5609805044	0.4617461464	fac3	1
v000038	-0.433121509	0.124148587	0.2350617586		
v000040	-0.400273056	0.1691156927	0.1980746655		
v000041	-0.495438231	-0.070783633	-0.058205942		
v000042	-0.524403261	0.2839227796	0.0988173792		
v000043	-0.471476693	0.4190883084	0.0151369449	fac2	1
v000044	-0.481941282	-0.072126003	0.5052337638	fac1	1
v000046	-0.365791384	-0.009104954	-0.142041182		
v000048	-0.339240314	0.355393764	0.1915345576	fac1	1
v000049	-0.389154737	-0.110644987	0.3624628364	fac3	1
v000050	0.2389053079	0.7735376739	0.3438935721	fac3	1
v000051	-0.458072831	0.30295949	-0.521455091	fac1	1
v000053	-0.33426958	-0.183531667	0.1070113489		
v000054	0.2802587461	0.5632904944	0.0500102311		
v000057	-0.56489509	0.3422265261	-0.453710262	fac3	1
v000058	-0.055798468	0.6105746367	0.2648541135		
v000060	-0.282935853	0.2053264169	0.1477333428		
v000061	-0.086666466	0.5434797726	0.1938835075		
v000062	-0.510232185	0.4801402055	-0.560553563	fac1	1
v000063	-0.398566945	0.1961830541	0.0217351732		
v000064	-0.320664517	0.4543273821	0.2642779692	fac1	1
v000065	-0.20240613	0.5354417568	0.1452616121		
v000066	-0.062152586	0.2672894876	0.2122313601		
v000067	0.2312127448	0.1162527991	0.5150260196		
v000068	-0.379298426	0.0647509162	0.7831214774	fac1	1
v000069	-0.480824765	0.0011882016	-0.265582788		
v000070	-0.216008335	-0.103517821	0.3054560829		
v000071	-0.531124786	0.0683047945	0.1311869751		
v000072	-0.47924892	-0.077230512	-0.059229839		
v000078	0.0946113136	0.5101093592	0.2692071325		
v000079	0.5454414235	0.6478362427	0.045369118	fac1	1
v000080	-0.363664862	0.2261407333	0.3441157672	fac3	1
v000081	-0.149119345	-0.014115067	0.0351622305		
v000083	-0.219216429	0.5243659245	-0.167601836		
v000084	0.0168552618	0.3924592567	0.5257711957	fac2	1
v000087	-0.483825463	0.4087238657	-0.507718794	fac1	1
v000090	-0.317228737	0.0911144701	0.4743102945	fac1	1
v000093	0.19405394	0.552701139	-0.049615928		
v000095	-0.37977451	0.0393450815	0.2994201674		
v000099	-0.510603789	0.1716924071	0.1954374024		
v000101	0.5264052809	0.7327020003	-0.549863785	fac3	1
v000104	-0.510111922	-0.234506789	-0.047910749		
v000105	0.7285337553	0.7528904942	-0.197853098	fac1	1
v000108	-0.558628119	0.256833899	0.4089127838	fac3	1
v000109	0.4796187829	0.4646997445	0.2567311303	fac2	1
v000111	-0.586681321	0.1228607068	0.1339604242		
v000112	0.4687174829	0.7315062081	0.2027851073	fac1	1
v000113	-0.401740555	0.0751035945	0.3680547527	fac3	1
v000114	-0.285809678	0.0788021081	0.7372929295		
v000118	-0.376633801	0.2696138129	0.3292258296	fac3	1
v000119	-0.295909366	0.0412889145	0.391550031		
v000120	0.6298405008	0.6258996931	0.2555690029	fac2	1
v000121	-0.143155504	0.454927089	-0.563159135	fac2	1
v000123	0.1276788866	0.7606369	-0.297350501		
v000125	-0.434209897	0.1700496027	-0.095824178		
v000127	-0.545694298	0.1588241491	-0.070773317		
v000130	-0.469393026	0.2084891439	0.0747775095		
v000132	0.3228132037	0.7674263572	-0.349449872	fac3	1
v000133	-0.585974292	0.3528029016	0.0148891622	fac2	1
v000134	0.5289276725	0.7954129822	-0.352474235	fac1	1
v000136	-0.195119759	0.3924928796	0.2693713319		
v000137	-0.421694937	0.2418668966	-0.159161602		
v000138	-0.220186493	0.0826569632	0.2767807993		
v000139	-0.526030105	0.3515125916	-0.45780443	fac3	1
v000140	-0.40309621	0.0770985777	0.4549340607	fac1	1
v000141	-0.009279042	-0.119277198	0.1043335872		
v000144	-0.227193601	0.4176580067	0.4394723605	fac2	1
v000146	-0.19099738	0.2104217393	0.3205457979		
v000152	-0.235712957	0.4442158712	-0.1165473		
v000156	0.5577166629	0.7365074717	0.2823303664	fac1	1
v000157	-0.5388566	0.0496571758	-0.116136031		
v000158	0.0387691349	0.21333867	0.1483103285		
v000161	-0.221553633	-0.283411682	0.1362806249		
v000162	-0.209381238	-0.012976252	0.2370946558		
v000163	-0.261198765	0.0743989698	0.7721156541		
v000165	0.5115947929	0.7590643887	0.117871803	fac1	1
v000169	-0.190096679	0.2547258232	0.2873439157		
v000172	-0.544372836	0.3173548906	0.2115066981	fac2	1
v000175	0.4931801065	0.7716166385	-0.404630436	fac1	1
v000177	-0.404387282	0.1464030329	-0.007005797		
v000184	-0.172500877	0.0608544426	0.3831048612		
v000186	0.0061298211	-0.133963552	0.0747828303		
v000190	0.0449918064	0.405866649	-0.642191715	fac2	1
v000191	-0.221709886	0.2701907534	-0.381582685		
v000193	-0.333134708	0.0237281604	0.2393294918		
v000198	-0.235725969	0.3537111649	0.0866244796		
v000199	0.0817074507	0.2896213588	-0.173346		
v000203	-0.003457154	0.2630872661	0.6781406133		
v000206	-0.032091837	-0.219876362	0.3074374927		
v000207	-0.243818763	0.1593677848	0.3612018444		
v000208	-0.255374385	0.3427223144	-0.242124026		
v000209	0.0794579409	0.2774966157	0.5951327735		
v000213	-0.413875241	-0.143561744	0.2434988913		
v000215	-0.189385094	0.1953146845	0.7232923653		
v000216	0.0051630832	0.0934302587	-0.249725129		
v000217	0.4007024018	0.3013422077	0.3251026287	fac3	1
v000218	-0.51619733	-0.13310367	0.1938396281		
v000219	0.142765425	0.0323321736	0.6398675942		
v000222	-0.321310323	0.0943159246	0.1241127285		
v000223	-0.06206947	0.1181991722	0.3296812156		
v000230	0.1983182041	0.4326566772	0.1942151878		
v000232	-0.057681191	-0.260373161	0.2109007465		
v000234	-0.05210673	-0.178630164	-0.45396617		
v000235	-0.246913322	-0.261217742	-0.010830821		
v000236	-0.190655036	-0.342075506	0.1608710892		
v000237	-0.253164355	0.3353556525	-0.778447521	fac2	1
v000241	-0.05360345	-0.029630483	0.4737892705		
v000246	0.0720410699	-0.18862291	-0.03716857		
v000249	-0.157482069	-0.130533595	0.1601318441		
v000259	0.0239180234	-0.090254413	-0.705161751		
v000260	-0.250062296	0.0798199063	-0.307555919		
v000261	-0.270868702	-0.120591045	-0.242865902		
v000262	-0.421794069	0.1834383183	0.1841640585		
v000263	-0.328768361	-0.195970693	-0.114638707		
v000268	0.1034840435	-0.43701705	0.0880225185		
v000280	0.1329026339	-0.111227743	-0.009345968		
v000284	-0.073245905	0.3027429519	-0.815845789	fac2	1
v000285	-0.117721375	0.09116211	0.4578494282		
v000292	-0.258786361	-0.16041841	0.017409009		
v000295	0.0716559449	-0.139001256	-0.031618902		
v000297	-0.177620318	-0.159870706	0.317678085		
v000300	-0.026134644	0.3020139377	-0.573775416	fac2	1
v000304	-0.071241805	0.3416512764	-0.422590491	fac2	1
v000310	-0.286056061	0.0007575365	0.2560223379		
v000313	-0.022689537	-0.202808673	0.1874199874		
v000315	-0.083333891	-0.112321218	0.228819389		
v000322	0.4369716718	0.3014941556	0.1964644974	fac2	1
v000325	0.5553517153	0.3798219571	0.4457729188	fac3	1
v000326	-0.092780031	-0.274534646	0.1582531187		
v000334	-0.186344026	0.2156390452	0.2486355667		
v000337	-0.275634882	-0.080215761	-0.290255723		
v000342	0.0804997701	0.222353745	-0.224607458		
v000343	-0.027772321	-0.322500607	-0.050919163		
v000354	-0.199137074	0.0989589453	-0.169952992		
v000361	0.1613501359	0.3748325323	0.1066484408		
v000363	0.0753288615	-0.313326623	0.2290909099		
v000372	0.0726650648	0.1330330132	0.6317282139		
v000373	0.0538385828	-0.3052132	-0.643836779	fac2	1
v000376	0.0806862609	-0.130316502	0.0062419115		
v000380	0.3444053129	0.2633904196	-0.090853264		
v000382	-0.012808384	-0.104668325	-0.093916576		
v000384	-0.099478313	0.0903689736	-0.23204681		
v000385	-0.097642135	0.063683833	0.3901506488		
v000388	-0.014385267	-0.386897486	-0.015578659		
v000389	-0.08650127	0.1864961671	-0.023651417		
v000392	-0.260241329	-0.221473672	-0.07829673		
v000398	-0.085423069	0.1199648123	-0.473840887		
v000404	0.7299344657	0.5057831416	-0.334456654	fac2	1
v000407	-0.12220867	-0.027207095	-0.215002024		
v000417	0.4391712879	0.5939379358	-0.149740977	fac1	1
v000423	0.2934958017	0.4861274487	-0.18861695		
v000428	0.1716614524	-0.376923088	-0.033709202		
v000434	-0.041840974	-0.189159493	0.0095252083		
v000446	0.0899736528	0.3811788396	-0.25012984		
v000449	-0.164104356	0.2135614817	0.0743180676		
v000452	-0.006948984	0.3062614792	-0.381991565	fac2	1
v000457	0.486336182	0.4375353361	-0.301459315	fac2	1
v000461	-0.07476838	0.0517051846	-0.112573591		
v000464	-0.077728983	0.0902356196	0.575160254		
v000466	-0.137219423	-0.017923241	-0.335386076		
v000467	0.0234639983	-0.218235039	-0.639819853		
v000497	-0.27167184	0.0324594529	-0.325344625		
v000502	-0.015463413	0.1823314442	-0.03628233		
v000504	-0.158180719	0.1331320315	0.2837628331		
v000515	-0.074675565	-0.009207383	-0.004876633		
v000516	0.1079222759	0.3697860734	-0.101653613		
v000517	-0.229174885	-0.137257505	0.0825499851		
v000521	0.33409955	-0.480702426	-0.114470097	fac1	1
v000527	-0.26359583	-0.049254381	-0.193014058		
v000529	0.1383646267	-0.230641351	0.1177162086		
v000537	0.1388591816	0.0676530604	-0.50143264		
v000540	-0.208621048	-0.002830973	0.3953063014		
v000545	0.4003834459	-0.519612155	-0.031028511	fac1	1
v000546	-0.205805425	0.0189673345	0.2793322993		
v000565	0.1742049293	-0.093917006	0.3317852596		
v000571	0.2301216079	-0.427228741	-0.015053534		
v000579	0.1283331441	-0.127645649	0.2233430433		
v000581	-0.103655942	-0.217446304	0.1243041254		
v000582	-0.127660617	-0.273523271	-0.050349878		
v000585	0.8334575672	0.3887238753	0.0104599209	fac2	1
v000604	-0.034402112	-0.372535166	0.1549131752		
v000623	0.1357797143	0.1531554776	-0.170441203		
v000624	-0.004352517	-0.213154057	-0.058181294		
v000627	-0.001902649	-0.286921611	-0.043459784		
v000634	0.2666334011	-0.1750404	0.3486908359		
v000639	0.0655207061	-0.336214687	0.1957552577		
v000641	0.1591857416	-0.156328285	-0.196611942		
v000642	0.3060889122	-0.417448168	0.0638598363	fac1	1
