_NAME_	COMMUNAL
v000001	1.051543265
v000003	1.8780156831
v000005	1.8940001796
v000002	2.026956471
v000008	2.0310244619
v000006	2.0465412009
v000010	2.3120975601
v000779	2.3613980793
v000017	2.426008797
v000009	2.4584378248
v000012	2.4747759423
v000004	2.5151476037
v000011	2.5155299504
v000007	2.5612139103
v000014	2.6505963708
v000950	2.6542502986
v000968	2.685274957
v000861	2.7171567868
v000974	2.7470009805
v000885	2.760875331
v000789	2.7827130924
v000018	2.786434008
v000642	2.7950618984
v000028	2.7968226866
v000373	2.7975363856
v000521	2.7978099989
v000013	2.8003178539
v000794	2.8454166367
v000467	2.8539318014
v000407	2.8787297327
v000838	2.8848946633
v000871	2.9059566644
v000023	2.920868497
v000545	2.9385642496
v000826	2.9392915409
v000036	2.9427211229
v000943	2.9642726968
v000529	2.9712482787
v000724	2.9883671362
v000035	2.9905269329
v000021	2.9918314249
v000042	2.9992628409
v000038	3.0006323854
v000428	3.0020446652
v000043	3.002876613
v000765	3.0030729258
v000072	3.016227528
v000677	3.0168634197
v000979	3.0180623974
v000650	3.0223958308
v000741	3.0236012696
v000020	3.0329291038
v000016	3.0343085805
v000037	3.0362644981
v000034	3.0452166806
v000019	3.055732708
v000634	3.0618759397
v000989	3.0629431395
v000808	3.0663622876
v000015	3.0696181624
v000964	3.0702016491
v000134	3.0883663947
v000044	3.1016043488
v000024	3.1046495305
v000565	3.1118736945
v000912	3.1133720833
v000068	3.1226032334
v000354	3.12529712
v000898	3.1264644729
v000177	3.1325324285
v000848	3.1330833625
v000497	3.1408665111
v000046	3.1419456446
v000388	3.1501428102
v000423	3.1567637822
v000847	3.1581388887
v000944	3.169296027
v000404	3.1758508828
v000246	3.1765450239
v000658	3.1792212819
v000843	3.1805937422
v000280	3.1888914379
v000203	3.1900893696
v000728	3.1909919876
v000029	3.1930853343
v000022	3.1945222478
v000050	3.205196718
v000215	3.2115574237
v000579	3.2123752876
v000522	3.2149843083
v000461	3.2185159455
v000140	3.2218619073
v000026	3.2265147373
v000025	3.2268488489
v000105	3.2331776974
v000144	3.2426881471
v000080	3.2485199838
v000237	3.2511493368
v000084	3.257299877
v000753	3.2655885179
v000417	3.2665889614
v000639	3.2700104025
v000064	3.2721841424
v000186	3.2729361576
v000101	3.2743535569
v000911	3.2749521347
v000030	3.2758274564
v000049	3.2835341929
v000315	3.2878857759
v000875	3.2892986134
v000209	3.2903421452
v000446	3.2903645219
v000031	3.2906149829
v000079	3.2907451874
v000234	3.2937306317
v000262	3.3008935946
v000259	3.3046885159
v000389	3.3074969623
v000582	3.3086448404
v000434	3.3100199849
v000726	3.3139517665
v000449	3.3249530511
v000537	3.3250257062
v000041	3.3329799952
v000063	3.3396460379
v000721	3.3466531331
v000624	3.354298148
v000172	3.3638374744
v000112	3.3646960499
v000163	3.3663546256
v000040	3.3697449875
v000852	3.3741152138
v000834	3.377615344
v000118	3.3814976656
v000133	3.3820174759
v000114	3.385050795
v000735	3.388524181
v000326	3.3894209602
v000083	3.3911518522
v000313	3.3977762104
v000081	3.3979383599
v000933	3.3986997337
v000268	3.399233329
v000464	3.4001947386
v000864	3.4003364114
v000058	3.4010433281
v000749	3.4016875453
v000376	3.4084015698
v000213	3.408746985
v000342	3.410389217
v000392	3.4108961509
v000054	3.4247223191
v000525	3.4249180466
v000737	3.4252412544
v000165	3.4345061691
v000571	3.4346157098
v000641	3.4399066007
v000284	3.4410260621
v000066	3.4410991551
v000070	3.4426658513
v000175	3.4445006409
v000970	3.4449358008
v000087	3.4499612002
v000856	3.4537489166
v000065	3.4541649978
v000517	3.4566945571
v000109	3.4613253711
v000078	3.4636335147
v000069	3.4657842177
v000820	3.470474352
v000099	3.4716074411
v000891	3.4730044264
v000060	3.4750313006
v000457	3.4767667426
v000778	3.4791564206
v000343	3.4792528457
v000048	3.4799019706
v000071	3.4805256827
v000385	3.480635486
v000249	3.484777015
v000516	3.484832023
v000051	3.4894432271
v000127	3.4902625409
v000198	3.4905501644
v000398	3.4921350411
v000297	3.4944708887
v000685	3.4965094936
v000108	3.4982356786
v000218	3.4992803913
v000219	3.500854053
v000527	3.5011478318
v000581	3.5018904644
v000090	3.5048481149
v000504	3.5098962301
v000261	3.5106284084
v000384	3.5112496416
v000206	3.5138036945
v000235	3.5145953513
v000157	3.5162538754
v000053	3.5169957773
v000845	3.5187648227
