Olha olhar
a o
mentalidade mentalidade
do de_o
bolsonarista bolsonarista
. .
. .
. .
backhand_index_pointing_down_eEMOJI_woman_shrugging_medium_skin_tone_eEMOJI_woman_facepalming_medium_skin_tone_e backhand_index_pointing_down_eemoji_woman_shrugging_medium_skin_tone_eemoji_woman_facepalming_medium_skin_tone_e
Ele ele
não não
vê ver
problema problema
em em
o o
governo governo
Bolsonaro bolsonaro
exigir exigir
comprovante comprovante
de de
vacinação vacinação
para para
o o
retorno retorno
do de_o
funcionalismo funcionalismo
público público
e e
ainda ainda
dizem dizer
que que
o o
presidente presidente
é ser
contra contra
. .
Meu meu
pai pai
, ,
são ser
iguais igual
aos a_o
esquerdistas esquerdista
. .
Que que
loucura loucura
! !
twitter twitter
. .
com com
/ /
Algaraviador algaraviador
/ /
s s
… …
