Vocês você
acham achar
que que
esses esse
políticos político
e e
os o
ministros ministro
do de_o
STF stf
que que
estão estar
trabalhando trabalhar
duro duro
pra pra
aprovar aprovar
a o
Vacina vacina
chinesa chinês
, ,
os o
artistas artista
globais global
, ,
vão ir
realmente realmente
tomar tomar
essa esse
vacina vacina
com com
eficácia eficácia
de de
65 65
% %
, ,
feita fazer
por por
um um
país país
sem sem
nenhuma nenhum
credibilidade credibilidade
? ?
Ou ou
será ser
que que
vão ir
escolher escolher
a o
vacina vacina
de de
Oxford oxford
? ?
