Viviane viviane
Moura moura
é ser
pré-candidata pré-candidata
a a
Federal federal
pelo por_o
Solidariedade solidariedade
/ /
PI pi
. .
Tomou tomar
a o
1a 1a
. .
J&amp j&amp
; ;
J j
em em
14 14
/ /
07 @card@
/ /
21 21
e e
o o
reforço reforço
em em
14 14
/ /
12 12
/ /
21 21
. .
Teve ter
um um
AVC avc
hemorrágico hemorrágico
em em
15 15
/ /
08 @card@
/ /
22 22
. .
A o
OMS oms
já já
publicou publicar
estudos estudo
indicando indicar
que que
o o
experimento experimento
pode poder
provocar provocar
AVC avc
s s
em em
até até
9 9
meses mês
após após
as o
doses dose
. .
https://t.co/9GvHCdpJa9 https://t.co/9gvhcdpja9
