@realpfigueiredo twitterhandle
Vc vc
chamava chamar
a o
gente gente
de de
teóricos teórico
da de_o
conspiração conspiração
. .
. .
. .
Dizia dizer
q q
as elas
fake fake
vacinas vacina
eram ser
boas bom
. .
. .
. .
Ficamos ficar
felizes feliz
que que
acordou acordar
. .
Antes antes
tarde tarde
do de_o
q q
nunca nunca
. .
Só só
não não
dá dar
p p
entender entender
como como
nós nós
, ,
q q
ñ ñ
trabalhamos trabalhar
como como
jornalistas jornalista
, ,
temos ter
mais muito
informações informação
que que
os o
jornalistas jornalista
e e
muitos muito
médicos médico
. .
Q q
loucura loucura
! !
