Mesmo mesmo
diante diante
de de
um um
vírus vírus
novo novo
, ,
sobre sobre
o o
qual qual
pouco pouco
se se
conhece conhecer
, ,
a o
pandemia pandemia
já já
nasceu nascer
formatada formatada
com com
a o
certeza certeza
de de
que que
tratamento tratamento
precoce precoce
não não
funciona funcionar
, ,
e e
que que
máscaras máscara
e e
lockdown lockdown
são ser
as o
únicas único
ferramentas ferramenta
disponíveis disponível
a o
espera espera
das de_o
vacinas vacina
. .
O o
simples simples
debate debate
sobre sobre
isso isso
tornou tornar
-se se
crime crime
! !
