Novo novo
normal normal
no em_o
futebol futebol
. .
Centenas centena
de de
jogadores jogador
morrendo morrer
em em
campo campo
ou ou
sofrendo sofrer
paradas parar
cardíacas cardíaco
depois depois
da de_o
#vacina #vacina
. .
A o
mídia mídia
esconde esconder
, ,
mas mas
a o
coisa coisa
está estar
saindo sair
de de
controle controle
. .
Nesta em_este
semana semana
tivemos ter
uma um
jogadora jogador
mirim mirim
do de_o
Ferroviária ferroviária
, ,
entre entre
vários vários
atletas atleta
amadores amador
mortos morto
. .
Até até
quando quando
? ?
https://t.co/LFvLYE46Mg https://t.co/lfvlye46mg
