Esse esse
maldito maldito
tranca trancar
o o
povo povo
de de
sp sp
em em
casa casa
, ,
aumenta aumentar
imposto impor
de de
tudo tudo
, ,
tira tirar
benefícios benefício
de de
idosos idoso
e e
deficientes deficiente
. .
. .
. .
quer querer
usar usar
o o
povo povo
de de
cobaia cobaia
com com
uma um
porcaria porcaria
de de
vachina vachina
que que
nem nem
os o
chineses chinês
querem querer
RENUNCIA renuncia
MALDITO maldito
Renuncie renuncie
, ,
Dória dória
! !
vidadestra vidadestra
. .
org org
/ /
renuncie-doria renuncie-doria
/ /
