@bernardokuster2 twitterhandle
É ser
muito muito
suspeito suspeito
que que
um um
governador governador
queira querer
forçar forçar
uma um
vacinação vacinação
em em
massa massa
atropelando atropelar
a o
lógica lógico
, ,
o o
bom bom
senso senso
, ,
a o
ciência ciência
, ,
as o
regulamentações regulamentação
, ,
as o
leis lei
, ,
a o
liberdade liberdade
de de
escolha escolha
, ,
e e
o o
respeito respeito
ao a_o
próximo próximo
, ,
e e
ainda ainda
tenha ter
apoio apoio
da de_o
extrema extremo
imprensa imprensa
para para
manipular manipular
alguns algum
idiotas idiota
úteis útil
. .
. .
. .
