@SigaGazetaBR twitterhandle
As o
estatísticas estatística
mostram mostrar
que que
é ser
desprezível desprezível
o o
risco risco
de de
morte morte
pelo por_o
vírus vírus
entre entre
jovens jovem
saudáveis saudável
, ,
portanto portanto
, ,
nada nada
justifica justificar
essa esse
gana gana
por por
vacinar vacinar
crianças criança
. .
Ou ou
é ser
muito muito
interesse interesse
em em
faturar faturar
com com
venda venda
de de
vacinas vacina
, ,
ou ou
tem ter
algo algo
muito muito
pior mau
por por
trás trás
de de
tudo tudo
isso isso
. .
