@NinaFerrari2 twitterhandle
As o
vacinas vacina
foram ser
desenvolvidas desenvolver
em em
prazo prazo
insuficiente insuficiente
para para
que que
fossem ser
realizados realizar
todos todo
os o
estudos estudo
acerca acerca
de de
eficácia eficácia
e e
efeitos efeito
colaterais colateral
. .
A o
ironia ironia
disso de_isso
é ser
que que
muitos muito
aceitam aceitar
a o
vacina vacina
mas mas
demonizam demonizam
o o
tratamento tratamento
precoce precoce
alegando alegar
falta falta
de de
estudos estudo
que que
assegurem assegurar
sua seu
eficácia eficácia
! !
