Ministro ministro
da de_o
Saúde saúde
recusa recusar
-se se
a a
reintegrar reintegrar
os o
milhares milhar
de de
cuidadores cuidadores
não não
vacinados vacinar
para para
evitar evitar
contaminar contaminar
os o
seus seu
doentes doente
, ,
mesmo mesmo
que que
a o
vacina vacina
não não
impeça impedir
a o
transmissão transmissão
do de_o
Covid19 covid19
. .
Ou ou
ele ele
mente mentar
ou ou
sua seu
ideologia ideologia
o o
cega cegar
: :
vamos ir
acabar acabar
com com
a o
obrigatoriedade obrigatoriedade
da de_o
vacinação vacinação
para para
cuidadores cuidadores
! !
twitter twitter
. .
com com
/ /
MLP_officiel mlp_officiel
/ /
s s
… …
