Inglaterra inglaterra
começa começar
a a
ameaçar ameaçar
cidadãos cidadão
não-vacinados não-vacinados
. .
. .
. .
Pior pior
é ser
ver ver
cristãos cristão
defendendo defender
esse esse
nazisanitarismo nazisanitarismo
. .
. .
. .
Me eu
sinto sentir
como como
na em_o
época época
do de_o
nazismo nazismo
q q
vários vários
cristãos cristão
colaboraram colaborar
c c
/ /
o o
regime regime
de de
Hitler hitler
. .
Como como
ñ ñ
enxergam enxergar
o o
q q
está estar
acontecendo acontecer
? ?
COMO como
cederam ceder
aos a_o
que que
tentaram tentar
nos nós
matar matar
? ?
woman_shrugging_medium_skin_tone_e woman_shrugging_medium_skin_tone_e
https://t.co/9LTuEUcXrq https://t.co/9ltueucxrq
