É ser
muito muito
triste triste
quando quando
vemos ver
pessoas pessoa
mal mal
informadas informar
. .
Uma um
vacina vacina
leva levar
de de
7 7
a a
10 10
anos ano
de de
teste teste
p p
/ /
confirmar confirmar
sua seu
eficácia eficácia
. .
Essa esse
raça raça
pra pra
ganhar ganhar
dinheiro dinheiro
, ,
vão ir
fazer fazer
o o
povo povo
de de
cobaia cobaia
. .
Vai ir
ter ter
muita muito
gente gente
com com
problemas problema
muitos muito
sérios sério
depois depois
que que
tomar tomar
a o
vacina vacina
. .
. .
. .
backhand_index_pointing_down_e backhand_index_pointing_down_e
