@schmittpaula twitterhandle
Lá lá
eles eles
tomam tomar
muita muito
Ivermectina ivermectina
. .
E e
teve ter
lugar lugar
q q
os o
governantes governante
não não
quiseram querer
a o
vacina vacina
. .
Teve ter
até até
um um
famosinho famosinho
aí aí
que que
apareceu aparecer
morto morto
pq pq
se se
recusou recusar
a a
dar dar
essas esse
fake fake
vacinas vacina
Aqui aqui
tomo tomar
desde desde
o o
início início
de de
2020 @card@
. .
Eu eu
não não
peguei pegar
, ,
minha meu
mãe mãe
e e
pai pai
tbm tbm
não não
. .
A o
gente gente
sai sair
, ,
vê ver
bastante bastante
gente gente
. .
. .
. .
