Lá lá
vamos ir
nós nós
outra outro
vez vez
. .
Foi ser
o o
Supremo supremo
quem quem
deu dar
poder poder
a a
governadores governador
e e
prefeitos prefeito
. .
Eu eu
não não
vou ir
sair sair
das de_o
quatro quatro
linhas linha
. .
Desde desde
o o
princípio princípio
fui ser
contra contra
a o
política política
do de_o
fique ficar
em em
casa casa
. .
No em_o
que que
depender depender
de de
mim eu
, ,
ninguém ninguém
será ser
obrigado obrigar
a a
tomar tomar
vacina vacina
e e
etc etc
, ,
etc etc
. .
t t
. .
me eu
/ /
rodrigocampello rodrigocampello
https://t.co/z4uYImsAe3 https://t.co/z4uyimsae3
