Pietra pietra
Medeiros medeiros
era ser
jogadora jogador
de de
Futsal futsal
e e
Campeã campeã
por por
São são
Paulo paulo
. .
Teve ter
que que
se se
submeter submeter
ao a_o
experimento experimento
, ,
pois pois
a o
Federação federação
exige exigir
o o
comprovante comprovante
em em
dia dia
para para
participação participação
nos em_o
Jogos jogos
. .
Desenvolveu desenvolver
hepatite hepatite
auto-imune auto-imune
logo logo
após após
a o
dose dose
de de
reforço reforço
e e
faleceu falecer
em em
19 19
/ /
08 @card@
/ /
22 22
, ,
após após
um um
transplante transplante
. .
https://t.co/qGizMxWhpj https://t.co/qgizmxwhpj
