Fontes fonte
: :
Falecimento falecimento
de de
Flávio flávio
Rodrigues rodrigues
: :
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
Face face
de de
Flávio flávio
( (
fotos foto
com com
as o
doses dose
) )
facebook facebook
. .
com com
/ /
profile profile
. .
php php
? ?
id id
… …
Alerta alertar
da de_o
Anvisa anvisa
, ,
só só
publicado publicar
no em_o
site site
e e
não não
divulgado divulgar
na em_o
Grande grande
Mídia mídia
. .
Flávio flávio
se se
submeteu submeter
ao a_o
experimento experimento
sem sem
saber saber
dos de_o
riscos risco
. .
gov gov
. .
br br
/ /
anvisa anvisa
/ /
pt-br pt-br
/ /
a o
… …
