@_l3itad4s_l03n twitterhandle
Uma um
amiga amiga
morou morar
lá lá
e e
disse dizer
q q
eles eles
qdo qdo
colocam colocar
o o
pé pé
na em_o
rua rua
p p
protestar protestar
, ,
o o
bicho bicho
pega pegar
. .
Maior grande
galera galera
morrendo morrer
, ,
ficando ficar
paralisada paralisado
, ,
ficando ficar
com com
problema problema
neurológico neurológico
, ,
alergias alergia
horríveis horrível
e e
eles eles
só só
pensam pensar
em em
motociata motociata
ao a_o
invés invés
de de
irmos ir
pra para_o
rua rua
protestar protestar
contra contra
as o
vacinas vacina
e e
a o
censura censura
