Irlanda irlanda
flag_ireland_e flag_ireland_e
também também
teve ter
protesto protesto
conta contar
a o
farsa farsa
do de_o
vírus vírus
, ,
vacina vacina
RNA rna
, ,
pedófilia pedófilia
, ,
nova novo
ordem ordem
mundial mundial
, ,
distanciamento distanciamento
social social
, ,
lockdown lockdown
! !
! !
! !
Brasil brasil
flag_brazil_e flag_brazil_e
vamos ir
para para
as o
ruas rua
também também
! !
! !
! !
@FlavioBolsonaro twitterhandle
@BolsonaroSP twitterhandle
@jairbolsonaro twitterhandle
@THS_Cafe twitterhandle
@Franml1234 twitterhandle
@ElisCarmem twitterhandle
@davidicke twitterhandle
@APretensao twitterhandle
https://t.co/OK5SPacHcL https://t.co/ok5spachcl
