@CMAJ twitterhandle
Absurdo absurdo
! !
Este este
estudo estudo
comprova comprovar
q q
os o
riscos risco
são ser
10x 10x
maiores grande
q q
os o
benefícios benefício
na em_o
população população
jovem jovem
, ,
pois pois
a o
#vacina #vacina
provoca provocar
100 100
mortes morte
a a
cada cada
100 100
mil mil
doses dose
( (
0 0
, ,
1 1
% %
) )
, ,
enquanto enquanto
o o
risco risco
de de
doença doença
grave grave
é ser
de de
0 0
, ,
01 @card@
% %
. .
O o
nome nome
q q
damos dar
a a
isso isso
é ser
#GenoEMOJI_copyright_e #genoemoji_copyright_e
! !
dio dio
! !
Milhares milhar
d d
jovens jovem
morreram morrer
pela por_o
#vacina #vacina
! !
